GO Term	Fold Change	MEGAN	EggNOG	MetaGOmics	MPA	Prophane	Unipept
choline-phosphate cytidylyltransferase activity	FC (WS / NS)	2.35 (4.09 / 0)	-	-	-	-	2.38 (3.7 / -0.09)
 	Percentile (%)	0.769	-	-	-	-	0.36
ethanolamine kinase activity	FC (WS / NS)	2.35 (4.09 / 0)	-	-	-	-	-
 	Percentile (%)	0.802	-	-	-	-	-
solute:proton antiporter activity	FC (WS / NS)	2.35 (4.09 / 0)	-1.32 (0 / 1.49)	-	1.49 (1.81 / 0)	-	0.2 (3 / 2.49)
 	Percentile (%)	0.869	83.616	-	7.407	-	23.732
7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase activity	FC (WS / NS)	2.35 (4.09 / 0)	-	-	-	-	-
 	Percentile (%)	0.936	-	-	-	-	-
DNA replication origin binding	FC (WS / NS)	2.32 (4 / 0)	2.44 (3.91 / -0.09)	2.32 (4 / 0)	-	-	0.61 (4.32 / 2.49)
 	Percentile (%)	0.97	0.31	1.328	-	-	10.536
isopentenyl-diphosphate delta-isomerase activity	FC (WS / NS)	2.32 (4 / 0)	-	-	-	-	-
 	Percentile (%)	1.003	-	-	-	-	-
L-lactate dehydrogenase (cytochrome) activity	FC (WS / NS)	2.32 (4 / 0)	-	-	-	-	-0.32 (1 / 1.49)
 	Percentile (%)	1.036	-	-	-	-	79.504
phosphatidylglycerol-membrane-oligosaccharide glycerophosphotransferase activity	FC (WS / NS)	2.32 (4 / 0)	-	-	-	-	-
 	Percentile (%)	1.103	-	-	-	-	-
acyl-[acyl-carrier-protein] hydrolase activity	FC (WS / NS)	2.32 (4 / 0)	-	-	-	-	-
 	Percentile (%)	1.137	-	-	-	-	-
very-long-chain-(S)-2-hydroxy-acid oxidase activity	FC (WS / NS)	2.32 (4 / 0)	-	-	-	-	-
 	Percentile (%)	1.27	-	-	-	-	-
long-chain-(S)-2-hydroxy-long-chain-acid oxidase activity	FC (WS / NS)	2.32 (4 / 0)	-	-	-	-	-
 	Percentile (%)	1.304	-	-	-	-	-
medium-chain-(S)-2-hydroxy-acid oxidase activity	FC (WS / NS)	2.32 (4 / 0)	-	-	-	-	-
 	Percentile (%)	1.337	-	-	-	-	-
alkylbase DNA N-glycosylase activity	FC (WS / NS)	2.29 (3.91 / 0)	1.84 (2.58 / 0)	-	-	-	-
 	Percentile (%)	1.371	2.364	-	-	-	-
prephenate dehydratase activity	FC (WS / NS)	2.2 (3.58 / 0)	0.14 (0 / -0.09)	-	-	-	0.66 (3.58 / 1.91)
 	Percentile (%)	1.538	22.45	-	-	-	9.421
octanoyltransferase activity	FC (WS / NS)	2.2 (3.58 / 0)	-	-	-	-	-
 	Percentile (%)	1.605	-	-	-	-	-
lipoate-protein ligase activity	FC (WS / NS)	2.2 (3.58 / 0)	-	2.27 (3.81 / 0)	-	-	-
 	Percentile (%)	1.638	-	2.066	-	-	-
aminoacyl-tRNA hydrolase activity	FC (WS / NS)	2.16 (3.46 / 0)	1.23 (3.46 / 0.91)	2.16 (3.46 / 0)	-	-	0.23 (3.58 / 2.91)
 	Percentile (%)	1.772	5.636	3.05	-	-	21.863
isochorismatase activity	FC (WS / NS)	2.16 (3.46 / 0)	-	-	-	-	-
 	Percentile (%)	1.805	-	-	-	-	-
nicotinamidase activity	FC (WS / NS)	2.16 (3.46 / 0)	-	-	-	-	-
 	Percentile (%)	1.839	-	-	-	-	-
GTP cyclohydrolase I activity	FC (WS / NS)	2.11 (3.32 / 0)	-	-	-	-	0.51 (3.58 / 2.23)
 	Percentile (%)	1.872	-	-	-	-	12.046
water channel activity	FC (WS / NS)	2.11 (3.32 / 0)	-	-	-	-	-
 	Percentile (%)	2.039	-	-	-	-	-
oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor	FC (WS / NS)	2.11 (3.32 / 0)	2.52 (4.75 / 0)	-	-	-	0.19 (2.32 / 1.91)
 	Percentile (%)	2.106	0.215	-	-	-	24.488
glucan endo-1,3-beta-D-glucosidase activity	FC (WS / NS)	2.11 (3.32 / 0)	-	-	-	-	-
 	Percentile (%)	2.173	-	-	-	-	-
lipid kinase activity	FC (WS / NS)	2.06 (3.17 / 0)	-	-	-	-	-1.32 (0 / 1.49)
 	Percentile (%)	2.24	-	-	-	-	94.822
adenosylmethionine decarboxylase activity	FC (WS / NS)	2.06 (3.17 / 0)	1.93 (2.81 / 0)	2.06 (3.17 / 0)	-	-	1.36 (3.91 / 0.91)
 	Percentile (%)	2.273	1.815	3.591	-	-	3.488
diacylglycerol kinase activity	FC (WS / NS)	2.06 (3.17 / 0)	-	-	-	-	-
 	Percentile (%)	2.307	-	-	-	-	-
bis(5'-nucleosyl)-tetraphosphatase (symmetrical) activity	FC (WS / NS)	2.06 (3.17 / 0)	-	-	-	-	-
 	Percentile (%)	2.407	-	-	-	-	-
DNA-3-methylbase glycosylase activity	FC (WS / NS)	2.06 (3.17 / 0)	-	-	-	-	-
 	Percentile (%)	2.474	-	-	-	-	-
phosphatidyl-N-methylethanolamine N-methyltransferase activity	FC (WS / NS)	2 (3 / 0)	-	-	-	-	-
 	Percentile (%)	2.541	-	-	-	-	-
chorismate synthase activity	FC (WS / NS)	2 (3 / 0)	0.74 (3.17 / 1.49)	2.06 (3.17 / 0)	-	-	-
 	Percentile (%)	2.675	10.676	3.64	-	-	-
exo-alpha-sialidase activity	FC (WS / NS)	2 (3 / 0)	-	-	-	-	0.51 (6.88 / 4.55)
 	Percentile (%)	2.708	-	-	-	-	12.19
hydroxymethylglutaryl-CoA synthase activity	FC (WS / NS)	2 (3 / 0)	-	2 (3 / 0)	-	-	2.3 (3.46 / -0.09)
 	Percentile (%)	2.742	-	4.279	-	-	0.396
phosphatidylethanolamine N-methyltransferase activity	FC (WS / NS)	2 (3 / 0)	-	-	-	-	-
 	Percentile (%)	2.775	-	-	-	-	-
voltage-gated potassium channel activity	FC (WS / NS)	2 (3 / 0)	-	-	-	-	-1.32 (0 / 1.49)
 	Percentile (%)	2.808	-	-	-	-	94.966
6-phospho-beta-glucosidase activity	FC (WS / NS)	2 (3 / 0)	0 (0 / 0)	-	-	-	-
 	Percentile (%)	2.875	48.794	-	-	-	-
rRNA (cytosine-N4-)-methyltransferase activity	FC (WS / NS)	2 (3 / 0)	1.84 (2.58 / 0)	1.93 (2.81 / 0)	-	-	1.3 (3.7 / 0.91)
 	Percentile (%)	3.076	2.675	5.017	-	-	3.776
phosphatidyl-N-dimethylethanolamine N-methyltransferase activity	FC (WS / NS)	2 (3 / 0)	-	-	-	-	-
 	Percentile (%)	3.109	-	-	-	-	-
thiamine-phosphate diphosphorylase activity	FC (WS / NS)	1.93 (2.81 / 0)	-	-	-	-	-
 	Percentile (%)	3.176	-	-	-	-	-
triglyceride lipase activity	FC (WS / NS)	1.93 (2.81 / 0)	-	-	-	-	-
 	Percentile (%)	3.21	-	-	-	-	-
peptide-methionine (S)-S-oxide reductase activity	FC (WS / NS)	1.93 (2.81 / 0)	0 (0 / 0)	-	-	-	0.54 (4.09 / 2.49)
 	Percentile (%)	3.276	48.627	-	-	-	11.291
ATPase-coupled phosphate ion transmembrane transporter activity	FC (WS / NS)	1.93 (2.81 / 0)	0 (0 / 0)	2.2 (3.58 / 0)	2.77 (5.81 / 0)	-	0.57 (3.81 / 2.23)
 	Percentile (%)	3.343	49.534	2.853	3.849	-	10.752
peptide-methionine (R)-S-oxide reductase activity	FC (WS / NS)	1.93 (2.81 / 0)	-	-	-	-	0.49 (3.91 / 2.49)
 	Percentile (%)	3.377	-	-	-	-	12.442
gluconokinase activity	FC (WS / NS)	1.93 (2.81 / 0)	-	-	-	-	-
 	Percentile (%)	3.41	-	-	-	-	-
levansucrase activity	FC (WS / NS)	1.93 (2.81 / 0)	-	2.11 (3.32 / 0)	-	-	-
 	Percentile (%)	3.444	-	3.492	-	-	-
cysteine-type endopeptidase activity	FC (WS / NS)	1.87 (6.29 / 1)	0 (0 / 0)	1.9 (6.46 / 1)	0.08 (8.81 / 8.3)	-	0.27 (7.37 / 5.93)
 	Percentile (%)	3.511	47.791	5.214	26.144	-	19.31
aspartic-type endopeptidase activity	FC (WS / NS)	1.84 (2.58 / 0)	-	-	-	-	0.21 (4.58 / 3.81)
 	Percentile (%)	3.577	-	-	-	-	22.905
cyclopropane-fatty-acyl-phospholipid synthase activity	FC (WS / NS)	1.84 (2.58 / 0)	-	-	-	-	2.07 (2.81 / -0.09)
 	Percentile (%)	3.611	-	-	-	-	1.043
galactitol transmembrane transporter activity	FC (WS / NS)	1.84 (2.58 / 0)	-	-	0.86 (0.81 / 0)	-	-
 	Percentile (%)	3.678	-	-	9.15	-	-
lipoprotein particle binding	FC (WS / NS)	1.84 (2.58 / 0)	-	-	-	-	-
 	Percentile (%)	3.878	-	-	-	-	-
alpha-L-fucosidase activity	FC (WS / NS)	1.73 (2.32 / 0)	-	-	-	-	0.47 (3.46 / 2.23)
 	Percentile (%)	3.979	-	-	-	-	13.017
acetolactate decarboxylase activity	FC (WS / NS)	1.73 (2.32 / 0)	-	-	-	-	-
 	Percentile (%)	4.246	-	-	-	-	-
aspartate racemase activity	FC (WS / NS)	1.73 (2.32 / 0)	-	-	-	-	1.88 (2.32 / -0.09)
 	Percentile (%)	4.28	-	-	-	-	1.546
beta-galactosidase activity	FC (WS / NS)	1.66 (5.32 / 1)	-	1.41 (4.32 / 1)	2.8 (5.98 / 0)	-	0.54 (5.13 / 3.23)
 	Percentile (%)	4.346	-	6.05	3.486	-	11.471
dCMP deaminase activity	FC (WS / NS)	1.58 (2 / 0)	-	-	-	-	2.07 (2.81 / -0.09)
 	Percentile (%)	4.413	-	-	-	-	0.863
oleoyl-[acyl-carrier-protein] hydrolase activity	FC (WS / NS)	1.58 (2 / 0)	-	-	-	-	-
 	Percentile (%)	4.447	-	-	-	-	-
polygalacturonase activity	FC (WS / NS)	1.58 (2 / 0)	-	-	-	-	0.14 (0 / -0.09)
 	Percentile (%)	4.48	-	-	-	-	30.169
DNA-3-methyladenine glycosylase activity	FC (WS / NS)	1.58 (2 / 0)	-	-	-	-	-
 	Percentile (%)	4.614	-	-	-	-	-
diaminopimelate decarboxylase activity	FC (WS / NS)	1.58 (2 / 0)	1.73 (2 / -0.09)	-	-	-	0.8 (2.32 / 0.91)
 	Percentile (%)	4.647	3.272	-	-	-	7.947
choline transmembrane transporter activity	FC (WS / NS)	1.58 (2 / 0)	-	-	-	-	-
 	Percentile (%)	4.681	-	-	-	-	-
quaternary-ammonium-compound-transporting ATPase activity	FC (WS / NS)	1.58 (2 / 0)	-	2 (3 / 0)	-	-	-
 	Percentile (%)	4.714	-	4.427	-	-	-
myristoyl-[acyl-carrier-protein] hydrolase activity	FC (WS / NS)	1.58 (2 / 0)	-	-	-	-	-
 	Percentile (%)	4.748	-	-	-	-	-
palmitoyl-[acyl-carrier-protein] hydrolase activity	FC (WS / NS)	1.58 (2 / 0)	-	-	-	-	-
 	Percentile (%)	4.781	-	-	-	-	-
cytidylate kinase activity	FC (WS / NS)	1.56 (4.91 / 1)	1.61 (4.81 / 0.91)	1.54 (4.81 / 1)	1.26 (1.4 / 0)	-	1.32 (5.21 / 1.49)
 	Percentile (%)	5.082	3.344	5.607	8.351	-	3.632
glycerol dehydrogenase [NAD+] activity	FC (WS / NS)	1.52 (4.75 / 1)	-	1.54 (4.81 / 1)	-	-	2.68 (4.81 / -0.09)
 	Percentile (%)	5.115	-	5.657	-	-	0.144
glycerol-1-phosphate dehydrogenase [NAD(P)+] activity	FC (WS / NS)	1.52 (4.75 / 1)	-	-	-	-	-
 	Percentile (%)	5.149	-	-	-	-	-
chorismate mutase activity	FC (WS / NS)	1.47 (6.17 / 1.58)	-	-	-	-	0.46 (3.81 / 2.49)
 	Percentile (%)	5.216	-	-	-	-	13.053
phospholipid-translocating ATPase activity	FC (WS / NS)	1.43 (4.39 / 1)	-	-	-	-	1.3 (3.7 / 0.91)
 	Percentile (%)	5.249	-	-	-	-	3.704
calcium-transporting ATPase activity	FC (WS / NS)	1.43 (4.39 / 1)	-	2.41 (4.32 / 0)	-	-	0.54 (4.39 / 2.71)
 	Percentile (%)	5.283	-	1.082	-	-	11.435
phospholipid transporter activity	FC (WS / NS)	1.43 (4.39 / 1)	-	-	-	-	-
 	Percentile (%)	5.316	-	-	-	-	-
magnesium-importing ATPase activity	FC (WS / NS)	1.43 (4.39 / 1)	-	-	-	-	-
 	Percentile (%)	5.349	-	-	-	-	-
3-isopropylmalate dehydratase activity	FC (WS / NS)	1.41 (4.32 / 1)	0 (0 / 0)	2.11 (3.32 / 0)	-	-	1.3 (3.7 / 0.91)
 	Percentile (%)	5.483	47.767	3.148	-	-	3.668
trans-hexaprenyltranstransferase activity	FC (WS / NS)	1.37 (1.58 / 0)	1 (1 / 0)	-	-	-	-
 	Percentile (%)	5.55	6.855	-	-	-	-
DNA clamp loader activity	FC (WS / NS)	1.37 (1.58 / 0)	-	-	-	-	0.65 (2 / 0.91)
 	Percentile (%)	5.617	-	-	-	-	9.493
DNA (cytosine-5-)-methyltransferase activity	FC (WS / NS)	1.37 (1.58 / 0)	0.14 (0 / -0.09)	-	-	-	1.14 (1 / -0.09)
 	Percentile (%)	5.65	22.14	-	-	-	4.135
exopolyphosphatase activity	FC (WS / NS)	1.37 (1.58 / 0)	0 (0 / 0)	0.67 (5.64 / 3.17)	-1.37 (0 / 1.58)	-	-
 	Percentile (%)	5.684	47.815	10.084	84.096	-	-
geranyltranstransferase activity	FC (WS / NS)	1.37 (1.58 / 0)	0.14 (0 / -0.09)	-	-	-	-
 	Percentile (%)	5.717	22.307	-	-	-	-
histidinol-phosphate transaminase activity	FC (WS / NS)	1.37 (1.58 / 0)	-	-	-	-	-0.31 (2 / 2.71)
 	Percentile (%)	5.751	-	-	-	-	79.036
homoserine kinase activity	FC (WS / NS)	1.37 (1.58 / 0)	1.73 (2.32 / 0)	-	-	-	-
 	Percentile (%)	5.784	2.842	-	-	-	-
pantoate-beta-alanine ligase activity	FC (WS / NS)	1.37 (1.58 / 0)	-	1.41 (4.32 / 1)	-	-	2.07 (2.81 / -0.09)
 	Percentile (%)	5.817	-	6.099	-	-	0.935
guanosine-5'-triphosphate,3'-diphosphate diphosphatase activity	FC (WS / NS)	1.37 (1.58 / 0)	-	-	-	-	-
 	Percentile (%)	6.018	-	-	-	-	-
thymidine phosphorylase activity	FC (WS / NS)	1.37 (1.58 / 0)	1.37 (1.58 / 0)	-	-	-	1.73 (2 / -0.09)
 	Percentile (%)	6.051	5.039	-	-	-	1.798
nitrate transmembrane transporter activity	FC (WS / NS)	1.37 (1.58 / 0)	-	-	-	-	-
 	Percentile (%)	6.152	-	-	-	-	-
cation:cation antiporter activity	FC (WS / NS)	1.37 (1.58 / 0)	-	-	1.49 (1.81 / 0)	-	-0.89 (1 / 2.71)
 	Percentile (%)	6.185	-	-	7.553	-	91.226
pyrimidine-nucleoside phosphorylase activity	FC (WS / NS)	1.37 (1.58 / 0)	-	-	-	-	0.65 (2 / 0.91)
 	Percentile (%)	6.252	-	-	-	-	9.637
cyclin-dependent protein serine/threonine kinase regulator activity	FC (WS / NS)	1.37 (1.58 / 0)	-	-	-	-	-
 	Percentile (%)	6.286	-	-	-	-	-
oxidoreductase activity, acting on iron-sulfur proteins as donors, dinitrogen as acceptor	FC (WS / NS)	1.37 (1.58 / 0)	-	-	-	-	-
 	Percentile (%)	6.319	-	-	-	-	-
chitosanase activity	FC (WS / NS)	1.37 (1.58 / 0)	-0.93 (0 / 0.91)	-	-	-	-
 	Percentile (%)	6.352	79.412	-	-	-	-
isoamylase activity	FC (WS / NS)	1.37 (1.58 / 0)	-	-	-	-	-
 	Percentile (%)	6.386	-	-	-	-	-
ADP-ribosyl-[dinitrogen reductase] hydrolase activity	FC (WS / NS)	1.37 (1.58 / 0)	-	-	-	-	-
 	Percentile (%)	6.486	-	-	-	-	-
pullulanase activity	FC (WS / NS)	1.37 (1.58 / 0)	-	0.43 (5.32 / 3.7)	-0.3 (-0.19 / 0)	-	0.44 (1.58 / 0.91)
 	Percentile (%)	6.52	-	13.478	74.074	-	13.664
phosphoenolpyruvate carboxylase activity	FC (WS / NS)	1.34 (5.52 / 1.58)	1.38 (5.46 / 1.49)	1.18 (5.81 / 2)	3.4 (9.56 / 0)	-	0.72 (5.98 / 3.23)
 	Percentile (%)	6.787	4.848	6.985	0.29	-	8.81
glutamate-5-semialdehyde dehydrogenase activity	FC (WS / NS)	1.32 (4 / 1)	1.99 (2.58 / -0.09)	2.06 (3.17 / 0)	-	-	0.88 (3.58 / 1.49)
 	Percentile (%)	6.82	1.743	3.689	-	-	7.479
acetolactate synthase activity	FC (WS / NS)	1.29 (7.79 / 2.58)	0.14 (0 / -0.09)	1.52 (4.75 / 1)	-3.07 (0 / 7.4)	-	0.6 (4.91 / 2.91)
 	Percentile (%)	6.887	22.188	5.706	92.52	-	10.68
phosphomethylpyrimidine kinase activity	FC (WS / NS)	1.27 (3.81 / 1)	-	-	-	-	-
 	Percentile (%)	6.921	-	-	-	-	-
glucose-6-phosphate dehydrogenase activity	FC (WS / NS)	1.25 (5.13 / 1.58)	-1.53 (1 / 4.76)	1.05 (5.21 / 2)	2.84 (6.15 / 0)	-	0.96 (5.29 / 2.23)
 	Percentile (%)	6.954	86.649	7.477	2.905	-	6.976
dihydrofolate reductase activity	FC (WS / NS)	1.23 (3.7 / 1)	2.14 (3 / -0.09)	2.2 (3.58 / 0)	-	-	0.73 (3.81 / 1.91)
 	Percentile (%)	6.988	1.242	2.755	-	-	8.666
(S)-2-hydroxy-acid oxidase activity	FC (WS / NS)	1.22 (6 / 2)	-	-	-	-	-
 	Percentile (%)	7.021	-	-	-	-	-
3-isopropylmalate dehydrogenase activity	FC (WS / NS)	1.11 (3.32 / 1)	2 (3 / 0)	2.2 (3.58 / 0)	-	-	0.69 (3.7 / 1.91)
 	Percentile (%)	7.121	1.529	2.705	-	-	8.954
histidinol dehydrogenase activity	FC (WS / NS)	1.11 (3.32 / 1)	-	-	-	-	-0.05 (2.58 / 2.71)
 	Percentile (%)	7.155	-	-	-	-	65.732
isocitrate dehydrogenase (NAD+) activity	FC (WS / NS)	1.11 (3.32 / 1)	-	-	-	-	-
 	Percentile (%)	7.188	-	-	-	-	-
8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity	FC (WS / NS)	1.1 (4.52 / 1.58)	-	-	-	-	-0.32 (1 / 1.49)
 	Percentile (%)	7.222	-	-	-	-	79.72
beta-N-acetylhexosaminidase activity	FC (WS / NS)	1.08 (6.58 / 2.58)	-	-	-0.14 (0.81 / 1)	-	1.03 (5.58 / 2.23)
 	Percentile (%)	7.322	-	-	66.376	-	6.796
threonine synthase activity	FC (WS / NS)	1.07 (5.29 / 2)	0 (0 / 0)	-	-	-	1.21 (5.73 / 1.91)
 	Percentile (%)	7.355	47.91	-	-	-	3.991
oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor	FC (WS / NS)	1.06 (4.39 / 1.58)	-	0.08 (6.88 / 6.48)	-	-	0.18 (5.36 / 4.61)
 	Percentile (%)	7.389	-	35.416	-	-	25.53
cAMP-dependent protein kinase regulator activity	FC (WS / NS)	1.06 (3.17 / 1)	-	-	-	-	-
 	Percentile (%)	7.456	-	-	-	-	-
tagatose-6-phosphate kinase activity	FC (WS / NS)	1.02 (7.09 / 3)	-	1.33 (5.49 / 1.58)	2.9 (6.46 / 0)	-	1.36 (6.44 / 1.91)
 	Percentile (%)	7.489	-	6.296	2.397	-	3.56
imidazoleglycerol-phosphate synthase activity	FC (WS / NS)	1 (1 / 0)	1 (1 / 0)	-	-	-	1 (2.81 / 0.91)
 	Percentile (%)	7.589	6.95	-	-	-	6.868
ATPase activator activity	FC (WS / NS)	1 (1 / 0)	-	-	-	-	-
 	Percentile (%)	7.757	-	-	-	-	-
tRNA (adenine-C2-)-methyltransferase activity	FC (WS / NS)	1 (3 / 1)	1 (1 / 0)	-	-2.99 (0 / 6.92)	-	1.07 (3 / 0.91)
 	Percentile (%)	7.857	7.141	-	91.939	-	6.544
D-amino-acid oxidase activity	FC (WS / NS)	1 (1 / 0)	-	-	-	-	-
 	Percentile (%)	7.89	-	-	-	-	-
acid phosphatase activity	FC (WS / NS)	1 (3 / 1)	0.82 (4.7 / 2.23)	-0.62 (3 / 5.13)	0.24 (6.3 / 5.17)	0 (-10.4 / -10.43)	-0.13 (5.09 / 5.66)
 	Percentile (%)	7.924	10.174	83.374	14.306	47.887	71.917
anthranilate phosphoribosyltransferase activity	FC (WS / NS)	1 (1 / 0)	-	-	-	-	-0.16 (2.32 / 2.71)
 	Percentile (%)	7.957	-	-	-	-	73.283
cholinesterase activity	FC (WS / NS)	1 (1 / 0)	-	-	-	-	-
 	Percentile (%)	8.024	-	-	-	-	-
guanylate cyclase activity	FC (WS / NS)	1 (1 / 0)	-	-	-	-	-
 	Percentile (%)	8.058	-	-	-	-	-
phosphatidate cytidylyltransferase activity	FC (WS / NS)	1 (1 / 0)	-	-	-	-	1.51 (1.58 / -0.09)
 	Percentile (%)	8.091	-	-	-	-	2.301
O-phospho-L-serine:2-oxoglutarate aminotransferase activity	FC (WS / NS)	1 (1 / 0)	1.14 (1 / -0.09)	-	-	-	0.91 (2.58 / 0.91)
 	Percentile (%)	8.124	5.923	-	-	-	7.228
oxygen-dependent protoporphyrinogen oxidase activity	FC (WS / NS)	1 (1 / 0)	-	-	-	-	-1.24 (1 / 3.71)
 	Percentile (%)	8.158	-	-	-	-	94.714
thymidine kinase activity	FC (WS / NS)	1 (1 / 0)	1 (1 / 0)	-	-	-	-1.39 (1 / 4.23)
 	Percentile (%)	8.191	7.284	-	-	-	96.188
tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase activity	FC (WS / NS)	1 (1 / 0)	2.68 (5.39 / 0)	-	-1.84 (0 / 2.58)	-	-
 	Percentile (%)	8.225	0.119	-	85.839	-	-
xylulokinase activity	FC (WS / NS)	1 (1 / 0)	-	-	-	-	-
 	Percentile (%)	8.258	-	-	-	-	-
high-density lipoprotein particle binding	FC (WS / NS)	1 (1 / 0)	-	-	-	-	-
 	Percentile (%)	8.459	-	-	-	-	-
signaling pattern recognition receptor activity	FC (WS / NS)	1 (1 / 0)	-	-	-	-	-
 	Percentile (%)	8.492	-	-	-	-	-
D-amino-acid dehydrogenase activity	FC (WS / NS)	1 (1 / 0)	-	-	-	-	-
 	Percentile (%)	8.526	-	-	-	-	-
L-fuculose-phosphate aldolase activity	FC (WS / NS)	1 (1 / 0)	-	-	-	-	1.14 (1 / -0.09)
 	Percentile (%)	8.559	-	-	-	-	4.567
L-ribulose-phosphate 4-epimerase activity	FC (WS / NS)	1 (1 / 0)	-	-	-	-	-
 	Percentile (%)	8.592	-	-	-	-	-
altronate dehydratase activity	FC (WS / NS)	1 (1 / 0)	-	-	-	-	-
 	Percentile (%)	8.626	-	-	-	-	-
galactarate dehydratase activity	FC (WS / NS)	1 (1 / 0)	-	-	-	-	-
 	Percentile (%)	8.659	-	-	-	-	-
glutamyl-tRNA reductase activity	FC (WS / NS)	1 (1 / 0)	1 (1 / 0)	-	-	-	-0.16 (2.32 / 2.71)
 	Percentile (%)	8.693	7.643	-	-	-	73.391
phosphatidylglycerophosphatase activity	FC (WS / NS)	1 (1 / 0)	-	-	-	-	-
 	Percentile (%)	8.726	-	-	-	-	-
rhamnulokinase activity	FC (WS / NS)	1 (1 / 0)	-	-	-	-	0.14 (0 / -0.09)
 	Percentile (%)	8.76	-	-	-	-	30.996
thiamine-phosphate kinase activity	FC (WS / NS)	1 (3 / 1)	1 (1 / 0)	-	-	-	0.07 (1 / 0.91)
 	Percentile (%)	8.793	7.667	-	-	-	41.568
bacteriocin transmembrane transporter activity	FC (WS / NS)	1 (1 / 0)	-	-	-	-	-
 	Percentile (%)	8.927	-	-	-	-	-
low-density lipoprotein particle binding	FC (WS / NS)	1 (1 / 0)	0 (0 / 0)	-	-	-	-
 	Percentile (%)	8.96	50.275	-	-	-	-
lipoprotein particle receptor activity	FC (WS / NS)	1 (1 / 0)	-	-0.12 (6.75 / 7.42)	-	-	-
 	Percentile (%)	8.994	-	67.388	-	-	-
cellulose binding	FC (WS / NS)	1 (1 / 0)	-	1.93 (2.81 / 0)	-	-	-
 	Percentile (%)	9.061	-	4.722	-	-	-
S-adenosylmethionine-dependent tRNA (m5U54) methyltransferase activity	FC (WS / NS)	1 (3 / 1)	-	-	-	-	-
 	Percentile (%)	9.194	-	-	-	-	-
endo-1,4-beta-xylanase activity	FC (WS / NS)	1 (1 / 0)	-	-	-	-	0.56 (4.75 / 2.91)
 	Percentile (%)	9.261	-	-	-	-	11.183
pattern recognition receptor activity	FC (WS / NS)	1 (1 / 0)	-	-	-	-	-
 	Percentile (%)	9.428	-	-	-	-	-
methylthioribulose 1-phosphate dehydratase activity	FC (WS / NS)	1 (1 / 0)	-	-	-	-	-
 	Percentile (%)	9.629	-	-	-	-	-
N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase activity	FC (WS / NS)	1 (1 / 0)	-	-	-	-	-
 	Percentile (%)	9.662	-	-	-	-	-
ferredoxin-nitrite reductase activity	FC (WS / NS)	1 (1 / 0)	-	-	-	-	-
