GO Term	Fold Change	Unipept	EggNOG	MEGAN	MetaGOmics	MPA	Prophane
 	Percentile (%)	3.128	-	1.237	1.476	-	-
phosphorylation of RNA polymerase II C-terminal domain	FC (WS / NS)	1.51 (1.58 / -0.09)	-	-	-	-	-
 	Percentile (%)	3.2	-	-	-	-	-
S-adenosylmethioninamine biosynthetic process	FC (WS / NS)	1.36 (3.91 / 0.91)	-	2.06 (3.17 / 0)	2.06 (3.17 / 0)	-	-
 	Percentile (%)	3.524	-	2.34	3.738	-	-
D-tagatose 6-phosphate catabolic process	FC (WS / NS)	1.36 (6.44 / 1.91)	-	1.3 (5.36 / 1.58)	1.33 (5.49 / 1.58)	2.9 (6.46 / 0)	-
 	Percentile (%)	3.596	-	6.854	6.345	2.469	-
RNA 3'-end processing	FC (WS / NS)	1.27 (3.58 / 0.91)	-0.03 (7.62 / 7.82)	0.07 (6.83 / 6.44)	-	-	-
 	Percentile (%)	3.883	57.965	31.461	-	-	-
mitochondrial electron transport, NADH to ubiquinone	FC (WS / NS)	1.14 (1 / -0.09)	-1.89 (0 / 2.71)	-	-	-	-
 	Percentile (%)	4.387	90.733	-	-	-	-
mitochondrial electron transport, ubiquinol to cytochrome c	FC (WS / NS)	1.14 (1 / -0.09)	-	-	-	-	-
 	Percentile (%)	4.423	-	-	-	-	-
mitochondrial electron transport, cytochrome c to oxygen	FC (WS / NS)	1.14 (1 / -0.09)	-	-	-	-	-
 	Percentile (%)	4.459	-	-	-	-	-
mRNA polyadenylation	FC (WS / NS)	1.14 (1 / -0.09)	-0.18 (5.04 / 5.86)	0.27 (3.58 / 2.81)	-	-	-
 	Percentile (%)	4.495	64.318	18.957	-	-	-
phenylacetate catabolic process	FC (WS / NS)	1.14 (1 / -0.09)	-	0 (0 / 0)	-	-	-
 	Percentile (%)	4.746	-	58.074	-	-	-
tryptophan catabolic process to kynurenine	FC (WS / NS)	1.14 (1 / -0.09)	-	-	-	-	-
 	Percentile (%)	4.926	-	-	-	-	-
propionate catabolic process	FC (WS / NS)	1.14 (1 / -0.09)	-	-	-0.9 (1.58 / 3.81)	-	-
 	Percentile (%)	4.962	-	-	85.44	-	-
mannitol metabolic process	FC (WS / NS)	1.14 (1 / -0.09)	-	0 (0 / 0)	-	-	-
 	Percentile (%)	4.998	-	60.047	-	-	-
antigen processing and presentation	FC (WS / NS)	1.14 (1 / -0.09)	-	-	-	-	-
 	Percentile (%)	5.034	-	-	-	-	-
transepithelial chloride transport	FC (WS / NS)	1.14 (1 / -0.09)	-	-	-	-	-
 	Percentile (%)	5.07	-	-	-	-	-
regulation of vesicle fusion	FC (WS / NS)	1.14 (1 / -0.09)	-	-	-	-	-
 	Percentile (%)	5.142	-	-	-	-	-
endocytic recycling	FC (WS / NS)	1.14 (1 / -0.09)	0.14 (0 / -0.09)	-	-	-	-
 	Percentile (%)	5.25	27.155	-	-	-	-
negative regulation of ATPase activity	FC (WS / NS)	1.14 (1 / -0.09)	-	-	-	-	-
 	Percentile (%)	5.286	-	-	-	-	-
phylloquinone biosynthetic process	FC (WS / NS)	1.14 (1 / -0.09)	-	-	-	-	-
 	Percentile (%)	5.43	-	-	-	-	-
hormone metabolic process	FC (WS / NS)	1.14 (1 / -0.09)	1.73 (2.32 / 0)	-	-	-	-
 	Percentile (%)	5.466	3.057	-	-	-	-
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	FC (WS / NS)	1.14 (1 / -0.09)	-	-	-	-	-
 	Percentile (%)	5.574	-	-	-	-	-
short-chain fatty acid metabolic process	FC (WS / NS)	1.14 (1 / -0.09)	0.07 (10.23 / 9.72)	-	-0.34 (8.54 / 11.09)	-	-
 	Percentile (%)	5.681	36.924	-	78.455	-	-
detection of light stimulus involved in visual perception	FC (WS / NS)	1.14 (1 / -0.09)	-	-	-	-	-
 	Percentile (%)	5.753	-	-	-	-	-
regulation of calcium ion transport	FC (WS / NS)	1.14 (1 / -0.09)	0.44 (1.58 / 0.91)	1.58 (2 / 0)	-	-	-
 	Percentile (%)	5.789	13.805	4.982	-	-	-
muscle cell development	FC (WS / NS)	1.14 (1 / -0.09)	-	-	-	-	-
 	Percentile (%)	5.861	-	-	-	-	-
regulation of microtubule cytoskeleton organization	FC (WS / NS)	1.14 (1 / -0.09)	-	-	-	-	-
 	Percentile (%)	5.897	-	-	-	-	-
activation of GTPase activity	FC (WS / NS)	1.14 (1 / -0.09)	-	-	-	-	-
 	Percentile (%)	5.969	-	-	-	-	-
non-motile cilium assembly	FC (WS / NS)	1.14 (1 / -0.09)	-	-	-	-	-
 	Percentile (%)	6.041	-	-	-	-	-
bacteriocin biosynthetic process	FC (WS / NS)	1.13 (6.04 / 2.23)	0.14 (0 / -0.09)	-	-	0.46 (10.11 / 7.06)	-0.06 (-8.09 / -8.41)
 	Percentile (%)	6.329	26.391	-	-	11.256	54.171
peptide antibiotic metabolic process	FC (WS / NS)	1.13 (6.04 / 2.23)	-1.54 (0 / 1.91)	-	-	0.46 (10.11 / 7.06)	-0.09 (-6.09 / -6.41)
 	Percentile (%)	6.365	87.557	-	-	11.329	56.338
lactose catabolic process via tagatose-6-phosphate	FC (WS / NS)	1.12 (6 / 2.23)	-	1.02 (7.09 / 3)	1.2 (5.91 / 2)	2.84 (6.15 / 0)	-
 	Percentile (%)	6.401	-	7.523	6.886	3.123	-
tRNA thio-modification	FC (WS / NS)	1.1 (4.32 / 1.49)	-	0.74 (5 / 2.58)	-	2.45 (4.46 / 0)	-
 	Percentile (%)	6.472	-	11.601	-	5.447	-
peptidyl-L-beta-methylthioaspartic acid biosynthetic process from peptidyl-aspartic acid	FC (WS / NS)	1.07 (3 / 0.91)	0.14 (0 / -0.09)	-0.58 (1 / 2)	-	-	-
 	Percentile (%)	6.58	25.722	88.332	-	-	-
sucrose metabolic process	FC (WS / NS)	1.03 (4.09 / 1.49)	-	-	0.45 (4.7 / 3.17)	-	-
 	Percentile (%)	6.76	-	-	12.691	-	-
amino acid transmembrane transport	FC (WS / NS)	0.91 (2.58 / 0.91)	-	-0.33 (7.06 / 9.13)	0.15 (9.85 / 8.8)	-	-
 	Percentile (%)	7.192	-	85.456	25.578	-	-
dicarboxylic acid transport	FC (WS / NS)	0.91 (2.58 / 0.91)	-	-	-0.92 (3.46 / 7.44)	-2.91 (0 / 6.52)	-
 	Percentile (%)	7.264	-	-	85.637	91.14	-
acidic amino acid transport	FC (WS / NS)	0.91 (2.58 / 0.91)	-	-	-	-	-
 	Percentile (%)	7.3	-	-	-	-	-
light-independent bacteriochlorophyll biosynthetic process	FC (WS / NS)	0.91 (2.58 / 0.91)	-	0 (0 / 0)	-	-	-
 	Percentile (%)	7.335	-	62.22	-	-	-
rRNA base methylation	FC (WS / NS)	0.91 (4.46 / 1.91)	-	-	0.63 (5.17 / 3)	-2.99 (0 / 6.92)	-
 	Percentile (%)	7.371	-	-	10.821	92.157	-
regulation of translational termination	FC (WS / NS)	0.91 (5.04 / 2.23)	0.14 (0 / -0.09)	-	0.79 (4.75 / 2.32)	3.18 (8.04 / 0)	-
 	Percentile (%)	7.407	22.952	-	9.198	1.089	-
vesicle docking involved in exocytosis	FC (WS / NS)	0.84 (3.46 / 1.49)	0 (0 / 0)	-	-	-	-
 	Percentile (%)	7.587	48.436	-	-	-	-
photosynthesis	FC (WS / NS)	0.84 (3.46 / 1.49)	-0.39 (3.32 / 4.66)	-0.14 (8.02 / 8.92)	-1.18 (2.58 / 7.12)	-	-
 	Percentile (%)	7.659	70.217	80.207	87.801	-	-
glucuronate catabolic process	FC (WS / NS)	0.8 (2.32 / 0.91)	-	0 (1 / 1)	-	-	-
 	Percentile (%)	7.803	-	55.266	-	-	-
dolichol-linked oligosaccharide biosynthetic process	FC (WS / NS)	0.8 (2.32 / 0.91)	-	-	-	-	-
 	Percentile (%)	7.839	-	-	-	-	-
intracellular sequestering of iron ion	FC (WS / NS)	0.8 (2.32 / 0.91)	-0.48 (4.32 / 6.44)	-	-0.58 (4 / 6.46)	-	-
 	Percentile (%)	7.875	72.08	-	83.128	-	-
mitotic chromosome condensation	FC (WS / NS)	0.8 (2.32 / 0.91)	-1.54 (0 / 1.91)	0.13 (5.25 / 4.7)	-	-	-
 	Percentile (%)	7.911	87.031	26.379	-	-	-
phosphate ion transmembrane transport	FC (WS / NS)	0.8 (2.32 / 0.91)	-0.69 (1 / 2.23)	0.3 (5.17 / 4)	1.29 (3.91 / 1)	-	-
 	Percentile (%)	7.983	75.137	17.92	6.591	-	-
guanine catabolic process	FC (WS / NS)	0.78 (4 / 1.91)	-	0.23 (5.25 / 4.32)	0.92 (3.91 / 1.58)	2.45 (4.46 / 0)	-
 	Percentile (%)	8.091	-	20.729	8.116	5.084	-
S-adenosylhomocysteine catabolic process	FC (WS / NS)	0.77 (4.95 / 2.49)	-	-	-	0.15 (7.46 / 6.64)	-
 	Percentile (%)	8.234	-	-	-	18.736	-
septin ring assembly	FC (WS / NS)	0.76 (6.15 / 3.23)	-	1.09 (6.09 / 2.32)	1.23 (6.02 / 2)	3.08 (7.46 / 0)	-
 	Percentile (%)	8.342	-	7.255	6.788	2.106	-
disaccharide catabolic process	FC (WS / NS)	0.76 (6.38 / 3.36)	-	-	-	-	-
 	Percentile (%)	8.414	-	-	-	-	-
transcription-coupled nucleotide-excision repair, DNA damage recognition	FC (WS / NS)	0.74 (3.17 / 1.49)	-	-	-	-	-
 	Percentile (%)	8.45	-	-	-	-	-
negative regulation of translation	FC (WS / NS)	0.74 (4.39 / 2.23)	-0.12 (9.31 / 10.17)	-	-0.25 (7.31 / 8.85)	-	-
 	Percentile (%)	8.558	62.049	-	74.176	-	-
mature ribosome assembly	FC (WS / NS)	0.74 (4.39 / 2.23)	-	-	0.66 (4.25 / 2.32)	2.27 (3.81 / 0)	-
 	Percentile (%)	8.594	-	-	10.477	6.028	-
teichoic acid metabolic process	FC (WS / NS)	0.73 (6.02 / 3.23)	-	-	0.61 (8.42 / 5.17)	3.17 (7.99 / 0)	-
 	Percentile (%)	8.63	-	-	11.166	1.307	-
lipoteichoic acid biosynthetic process	FC (WS / NS)	0.72 (5.73 / 3.08)	-	-	0.9 (6.09 / 2.81)	3.17 (7.99 / 0)	-
 	Percentile (%)	8.738	-	-	8.362	1.452	-
negative regulation of ribosome biogenesis	FC (WS / NS)	0.72 (4.32 / 2.23)	0.7 (4.25 / 2.23)	-	0.66 (4.25 / 2.32)	2.27 (3.81 / 0)	-
 	Percentile (%)	8.846	10.891	-	10.526	6.173	-
disaccharide metabolic process	FC (WS / NS)	0.7 (6.64 / 3.71)	0.31 (5.46 / 4.23)	0.17 (10.82 / 9.47)	0.07 (8.94 / 8.5)	2.84 (6.17 / 0)	-
 	Percentile (%)	8.882	16.623	23.638	37.678	2.832	-
UTP biosynthetic process	FC (WS / NS)	0.69 (5.32 / 2.91)	-	0.71 (5.21 / 2.81)	0.12 (6.43 / 5.83)	2.45 (4.46 / 0)	-
 	Percentile (%)	8.918	-	12.003	28.775	5.156	-
L-proline biosynthetic process	FC (WS / NS)	0.68 (4.17 / 2.23)	-	1.15 (4.75 / 1.58)	2.23 (3.7 / 0)	0 (0 / 0)	-
 	Percentile (%)	9.169	-	7.088	2.558	45.461	-
retrograde transport, endosome to Golgi	FC (WS / NS)	0.65 (2 / 0.91)	1.37 (1.58 / 0)	-	-	-	-
 	Percentile (%)	9.673	5.254	-	-	-	-
benzene-containing compound metabolic process	FC (WS / NS)	0.65 (2 / 0.91)	-2.08 (0 / 3.23)	-0.17 (8.74 / 9.95)	-	-	-0.11 (-6.3 / -6.72)
 	Percentile (%)	9.745	91.856	81.311	-	-	58.613
positive regulation of hydrolase activity	FC (WS / NS)	0.65 (2 / 0.91)	-0.64 (4.91 / 8.22)	-	-	-	-
 	Percentile (%)	9.853	74.445	-	-	-	-
regulation of neurotransmitter transport	FC (WS / NS)	0.65 (2 / 0.91)	-	-	-	-	-
 	Percentile (%)	9.889	-	-	-	-	-
inhibition of neurotransmitter uptake	FC (WS / NS)	0.65 (2 / 0.91)	-	-	-	-	-
 	Percentile (%)	9.924	-	-	-	-	-
negative regulation of cellular protein metabolic process	FC (WS / NS)	0.65 (4.46 / 2.49)	-0.11 (10.23 / 11.13)	-	-0.31 (8.11 / 10.31)	-	-
 	Percentile (%)	10.032	61.834	-	77.029	-	-
carbon fixation	FC (WS / NS)	0.64 (5.98 / 3.49)	-0.78 (2 / 4.15)	0.05 (7.87 / 7.56)	1.04 (5.83 / 2.32)	3.4 (9.56 / 0)	-
 	Percentile (%)	10.104	76.069	35.139	7.575	0.363	-
purine-containing compound catabolic process	FC (WS / NS)	0.63 (5.55 / 3.23)	0.06 (13.74 / 13.12)	0.01 (21.55 / 21.41)	-	-	0.21 (3.82 / 3.16)
 	Percentile (%)	10.14	37.521	48.178	-	-	19.177
glyoxylate cycle	FC (WS / NS)	0.62 (3.46 / 1.91)	0 (0 / 0)	-	-	-	-
 	Percentile (%)	10.248	48.245	-	-	-	-
toxin biosynthetic process	FC (WS / NS)	0.61 (6.21 / 3.71)	-0.17 (1.58 / 1.91)	-	-	-	-
 	Percentile (%)	10.32	64.055	-	-	-	-
chlorophyll biosynthetic process	FC (WS / NS)	0.61 (2.81 / 1.49)	-	0.05 (7.95 / 7.67)	-	-	-
 	Percentile (%)	10.356	-	35.908	-	-	-
glucose catabolic process	FC (WS / NS)	0.61 (2.81 / 1.49)	-0.04 (9.01 / 9.31)	0.06 (16.79 / 16.06)	-	-0.3 (-0.19 / 0)	0.69 (1.48 / 0.53)
 	Percentile (%)	10.428	58.634	33.166	-	72.912	4.767
DNA ligation involved in DNA repair	FC (WS / NS)	0.61 (2.81 / 1.49)	-	-0.46 (2.32 / 3.58)	-	-	-
 	Percentile (%)	10.464	-	87.095	-	-	-
regulation of DNA replication	FC (WS / NS)	0.61 (4.32 / 2.49)	0.12 (4.91 / 4.43)	-0.06 (8.62 / 9.04)	-	-	-
 	Percentile (%)	10.608	32.888	75.995	-	-	-
toxin metabolic process	FC (WS / NS)	0.59 (6.25 / 3.81)	-0.24 (2.58 / 3.23)	0.65 (3.7 / 2)	-	0.46 (10.11 / 7.06)	-0.09 (-6.09 / -6.41)
 	Percentile (%)	10.716	65.942	12.27	-	11.111	56.23
self proteolysis	FC (WS / NS)	0.57 (3.81 / 2.23)	-	-	-	-	-
 	Percentile (%)	10.823	-	-	-	-	-
nucleoside diphosphate biosynthetic process	FC (WS / NS)	0.57 (3.32 / 1.91)	-0.14 (7.41 / 8.3)	0.12 (5.13 / 4.64)	-	-	-
 	Percentile (%)	10.931	63.028	27.416	-	-	-
secondary metabolite biosynthetic process	FC (WS / NS)	0.56 (6.23 / 3.91)	0.03 (3.7 / 3.61)	-0.37 (7.02 / 9.34)	-	-	-0.05 (-5.37 / -5.52)
 	Percentile (%)	11.075	42.966	86.259	-	-	51.788
rRNA methylation	FC (WS / NS)	0.56 (4.75 / 2.91)	0.67 (6.51 / 3.71)	0.26 (9.46 / 7.74)	0.43 (7.11 / 5)	-	-
 	Percentile (%)	11.147	11.034	19.626	13.232	-	-
peptidoglycan turnover	FC (WS / NS)	0.56 (4.46 / 2.71)	-1.8 (0 / 2.49)	-	0.73 (4.52 / 2.32)	0.43 (5.98 / 4.17)	-0.05 (-9.22 / -9.54)
 	Percentile (%)	11.219	89.993	-	9.69	11.547	52.763
thiamine diphosphate biosynthetic process	FC (WS / NS)	0.55 (4.7 / 2.91)	1 (1 / 0)	0.87 (6.32 / 3)	0.41 (5.25 / 3.7)	2.27 (3.81 / 0)	-
 	Percentile (%)	11.255	7.69	10.699	13.773	5.882	-
secondary metabolic process	FC (WS / NS)	0.54 (6.27 / 3.99)	-0.48 (4.95 / 7.31)	-0.32 (8.37 / 10.66)	-	0.46 (10.11 / 7.06)	-0.06 (-4.37 / -4.52)
 	Percentile (%)	11.363	72.009	85.222	-	11.184	53.738
regulation of ion transmembrane transport	FC (WS / NS)	0.53 (2.58 / 1.49)	0.26 (5.09 / 4.08)	-	-2.73 (0 / 5.64)	-	-
 	Percentile (%)	11.65	17.817	-	98.574	-	-
chromosome separation	FC (WS / NS)	0.53 (2.58 / 1.49)	-	0.53 (4.17 / 2.58)	-	-	-
 	Percentile (%)	11.686	-	13.407	-	-	-
polyphosphate biosynthetic process	FC (WS / NS)	0.52 (3.17 / 1.91)	-	0.47 (2.58 / 1.58)	-	-2.06 (0 / 3.17)	-
 	Percentile (%)	11.758	-	14.142	-	86.347	-
spermidine biosynthetic process	FC (WS / NS)	0.52 (5.25 / 3.36)	-0.26 (6.38 / 7.82)	0.4 (7.13 / 5.17)	-0.1 (7.68 / 8.3)	-	-
 	Percentile (%)	11.866	66.277	15.279	65.716	-	-
xylan catabolic process	FC (WS / NS)	0.52 (4.58 / 2.91)	-	0.1 (3.91 / 3.58)	-	-	-
 	Percentile (%)	11.902	-	29.221	-	-	-
chorismate biosynthetic process	FC (WS / NS)	0.52 (6.93 / 4.55)	1.14 (5.39 / 1.91)	0.33 (9.83 / 7.63)	0.61 (6.77 / 4.09)	2.73 (5.62 / 0)	-
 	Percentile (%)	11.938	6.616	17.252	11.117	4.067	-
glutamine biosynthetic process	FC (WS / NS)	0.51 (6.98 / 4.61)	-2.08 (0 / 3.23)	0.52 (7.31 / 4.81)	0.51 (7.27 / 4.81)	0.28 (12.36 / 9.98)	-0.45 (-8.32 / -11.01)
 	Percentile (%)	11.974	91.617	13.708	11.953	12.999	82.232
7,8-dihydroneopterin 3'-triphosphate biosynthetic process	FC (WS / NS)	0.51 (3.58 / 2.23)	-	2.11 (3.32 / 0)	-	-	-
 	Percentile (%)	12.082	-	2.14	-	-	-
xanthine metabolic process	FC (WS / NS)	0.51 (3.58 / 2.23)	-	0.1 (5.75 / 5.29)	-	-	-
 	Percentile (%)	12.154	-	28.653	-	-	-
oxaloacetate metabolic process	FC (WS / NS)	0.5 (5.95 / 3.91)	-	1.34 (5.52 / 1.58)	0.31 (7.59 / 5.93)	3.4 (9.56 / 0)	-
 	Percentile (%)	12.262	-	6.754	16.97	0.218	-
nitrogen fixation	FC (WS / NS)	0.5 (6.98 / 4.66)	-	-0.06 (10.77 / 11.3)	-0.2 (8.56 / 9.99)	0.28 (12.36 / 9.98)	-0.45 (-8.32 / -11.01)
 	Percentile (%)	12.298	-	76.229	72.602	13.072	82.34
cellular anion homeostasis	FC (WS / NS)	0.49 (3.91 / 2.49)	-	-	-	-2.32 (0 / 4)	-
 	Percentile (%)	12.37	-	-	-	87.219	-
cellular phosphate ion homeostasis	FC (WS / NS)	0.49 (3.91 / 2.49)	-	-	-	-2.32 (0 / 4)	-
 	Percentile (%)	12.406	-	-	-	87.291	-
negative regulation of phosphate metabolic process	FC (WS / NS)	0.49 (3.91 / 2.49)	-	-	-	-2.32 (0 / 4)	-
 	Percentile (%)	12.478	-	-	-	87.436	-
anion homeostasis	FC (WS / NS)	0.49 (3.91 / 2.49)	2.2 (3.58 / 0)	-	-	-2.32 (0 / 4)	-
 	Percentile (%)	12.513	0.955	-	-	87.509	-
monovalent inorganic anion homeostasis	FC (WS / NS)	0.49 (3.91 / 2.49)	-	-	-	-2.32 (0 / 4)	-
 	Percentile (%)	12.549	-	-	-	87.582	-
divalent inorganic anion homeostasis	FC (WS / NS)	0.49 (3.91 / 2.49)	-	-	-	-2.32 (0 / 4)	-
 	Percentile (%)	12.585	-	-	-	87.654	-
trivalent inorganic anion homeostasis	FC (WS / NS)	0.49 (3.91 / 2.49)	-	-	-	-2.32 (0 / 4)	-
 	Percentile (%)	12.621	-	-	-	87.727	-
pentose-phosphate shunt, non-oxidative branch	FC (WS / NS)	0.48 (4.46 / 2.91)	-1.47 (1 / 4.55)	0 (4.39 / 4.39)	-	0.1 (10.29 / 9.55)	-0.09 (-6.34 / -6.7)
 	Percentile (%)	12.729	86.53	57.673	-	24.328	57.313
removal of superoxide radicals	FC (WS / NS)	0.48 (4.91 / 3.23)	-0.97 (1.58 / 4.08)	0.16 (7.91 / 6.98)	-	-3.17 (0 / 8)	-
 	Percentile (%)	12.765	81.825	24.407	-	93.537	-
reactive oxygen species metabolic process	FC (WS / NS)	0.47 (5.21 / 3.49)	-0.59 (4.81 / 7.71)	0.16 (10.7 / 9.49)	-	-3.17 (0 / 8.01)	-
 	Percentile (%)	12.981	73.752	24.875	-	93.609	-
chlorophyll metabolic process	FC (WS / NS)	0.46 (3 / 1.91)	-	-	-	-	-
 	Percentile (%)	13.161	-	-	-	-	-
regulation of ion transport	FC (WS / NS)	0.46 (3 / 1.91)	0.12 (6.17 / 5.58)	0.2 (6.02 / 5.13)	-2.82 (0 / 6.04)	-	-
 	Percentile (%)	13.233	32.816	22.668	98.967	-	-
detoxification	FC (WS / NS)	0.46 (5 / 3.36)	-0.66 (2.58 / 4.66)	0.16 (8.07 / 7.1)	-	-	-
 	Percentile (%)	13.305	74.707	24.273	-	-	-
sulfur compound catabolic process	FC (WS / NS)	0.46 (5 / 3.36)	2.16 (3.46 / 0)	-	-0.34 (5.73 / 7.52)	0.08 (7.55 / 7.08)	-
 	Percentile (%)	13.341	1.123	-	78.505	25.49	-
diaminopimelate biosynthetic process	FC (WS / NS)	0.45 (7.69 / 5.36)	0.25 (4.46 / 3.61)	0.02 (10.27 / 10.12)	0.36 (8 / 6)	0.03 (11.39 / 11.16)	-0.46 (-6 / -7.88)
 	Percentile (%)	13.376	18.223	43.932	15.74	37.691	82.665
ribosomal subunit export from nucleus	FC (WS / NS)	0.44 (1.58 / 0.91)	-	-	-	-	-
 	Percentile (%)	13.412	-	-	-	-	-
translational frameshifting	FC (WS / NS)	0.44 (1.58 / 0.91)	-	-0.02 (6.04 / 6.13)	-	-	-
 	Percentile (%)	13.556	-	71.347	-	-	-
muscle contraction	FC (WS / NS)	0.44 (1.58 / 0.91)	-	-	-	-	-
 	Percentile (%)	13.592	-	-	-	-	-
regulation of ARF protein signal transduction	FC (WS / NS)	0.44 (1.58 / 0.91)	-	0 (0 / 0)	-	-	-
