GO Term	Fold Change	MPA	EggNOG	MEGAN	MetaGOmics	Prophane	Unipept
glucose-6-phosphate dehydrogenase activity	FC (WS / NS)	2.84 (6.15 / 0)	-1.53 (1 / 4.76)	1.25 (5.13 / 1.58)	1.05 (5.21 / 2)	-	0.96 (5.29 / 2.23)
 	Percentile (%)	2.955	85.324	7.736	7.016	-	7.469
tagatose-bisphosphate aldolase activity	FC (WS / NS)	2.84 (6.15 / 0)	-1.32 (0 / 1.49)	0.17 (9.74 / 8.52)	1.32 (5.46 / 1.58)	-0.52 (-6.16 / -8.41)	1.16 (5.49 / 1.91)
 	Percentile (%)	3.096	83.771	26.024	5.683	85.062	3.985
ribosomal large subunit binding	FC (WS / NS)	2.84 (6.15 / 0)	0.08 (6.04 / 5.69)	0 (2.32 / 2.32)	-0.16 (5.83 / 6.61)	-	0.02 (5.95 / 5.84)
 	Percentile (%)	3.377	36.294	61.295	66.984	-	52.932
heme-transporting ATPase activity	FC (WS / NS)	2.83 (6.14 / 0)	-	-	-	-	-
 	Percentile (%)	3.471	-	-	-	-	-
protoheme IX ABC transporter activity	FC (WS / NS)	2.83 (6.14 / 0)	-	-	-	-	-
 	Percentile (%)	3.518	-	-	-	-	-
beta-galactosidase activity	FC (WS / NS)	2.8 (5.98 / 0)	-	1.66 (5.32 / 1)	1.41 (4.32 / 1)	-	0.54 (5.13 / 3.23)
 	Percentile (%)	3.565	-	4.234	5.397	-	12.105
galactosidase activity	FC (WS / NS)	2.8 (5.98 / 0)	-	0.85 (7.04 / 3.46)	1.09 (5.39 / 2)	-	0.51 (5.21 / 3.36)
 	Percentile (%)	3.612	-	12.68	6.857	-	12.807
cobalamin-transporting ATPase activity	FC (WS / NS)	2.8 (5.94 / 0)	-	0.22 (7.28 / 6.13)	-	-	0.38 (4.09 / 2.91)
 	Percentile (%)	3.659	-	23.667	-	-	16.917
vitamin transmembrane transporter activity	FC (WS / NS)	2.8 (5.94 / 0)	-	0.16 (8.71 / 7.67)	-	-	0.38 (4.09 / 2.91)
 	Percentile (%)	3.705	-	26.528	-	-	16.942
dihydroorotase activity	FC (WS / NS)	2.77 (5.81 / 0)	-	0.52 (5 / 3.17)	0.12 (6.41 / 5.81)	-	0.56 (5.25 / 3.23)
 	Percentile (%)	3.752	-	15.381	29.302	-	11.679
inorganic phosphate transmembrane transporter activity	FC (WS / NS)	2.77 (5.81 / 0)	-	0.28 (4.58 / 3.58)	2.27 (3.81 / 0)	-	0.31 (4.25 / 3.23)
 	Percentile (%)	3.799	-	20.508	1.873	-	18.622
inorganic anion transmembrane transporter activity	FC (WS / NS)	2.77 (5.81 / 0)	-0.39 (3 / 4.23)	0.06 (7.96 / 7.57)	0.78 (5.52 / 2.81)	0.06 (-5.99 / -5.78)	-0.24 (4.46 / 5.46)
 	Percentile (%)	3.846	65.802	35.592	9.111	37.854	75.213
phosphate ion transmembrane transporter activity	FC (WS / NS)	2.77 (5.81 / 0)	-0.53 (2.32 / 3.81)	0.54 (4.52 / 2.81)	0.79 (4.75 / 2.32)	-	0.57 (3.81 / 2.23)
 	Percentile (%)	3.893	68.908	15.198	8.921	-	11.454
ATPase-coupled phosphate ion transmembrane transporter activity	FC (WS / NS)	2.77 (5.81 / 0)	0 (0 / 0)	1.93 (2.81 / 0)	2.2 (3.58 / 0)	-	0.57 (3.81 / 2.23)
 	Percentile (%)	3.94	48.051	3.227	2.794	-	11.479
ATPase-coupled anion transmembrane transporter activity	FC (WS / NS)	2.77 (5.81 / 0)	1 (1 / 0)	0.11 (6.02 / 5.49)	1.2 (4.95 / 1.58)	0.05 (-7.09 / -6.87)	0.32 (4.09 / 3.08)
 	Percentile (%)	3.987	10.203	30.51	6.286	39.594	18.496
cysteine-tRNA ligase activity	FC (WS / NS)	2.73 (5.62 / 0)	0.38 (5 / 3.61)	0.27 (5.52 / 4.39)	0.24 (5.52 / 4.52)	-	0.22 (5.67 / 4.71)
 	Percentile (%)	4.081	18.341	20.76	20.952	-	23.434
ferrochelatase activity	FC (WS / NS)	2.68 (5.43 / 0)	0.12 (6.91 / 6.26)	0 (0 / 0)	0.32 (6.04 / 4.64)	-	0.39 (5.04 / 3.61)
 	Percentile (%)	4.268	33.654	54.2	17.175	-	16.667
uroporphyrin-III C-methyltransferase activity	FC (WS / NS)	2.68 (5.43 / 0)	0.19 (4.81 / 4.08)	0.13 (5.75 / 5.17)	0.39 (5 / 3.58)	-	0.18 (5.09 / 4.36)
 	Percentile (%)	4.315	23.793	29.046	14.825	-	26.591
uroporphyrinogen-III synthase activity	FC (WS / NS)	2.68 (5.43 / 0)	0.45 (4.75 / 3.23)	0.13 (5.75 / 5.17)	0.39 (5 / 3.58)	-	0.38 (5.13 / 3.71)
 	Percentile (%)	4.362	16.571	29.068	14.857	-	16.992
precorrin-2 dehydrogenase activity	FC (WS / NS)	2.68 (5.43 / 0)	-	0.11 (7.98 / 7.32)	0.39 (5 / 3.58)	-	0.33 (5.04 / 3.81)
 	Percentile (%)	4.55	-	30.877	14.889	-	18.321
sirohydrochlorin ferrochelatase activity	FC (WS / NS)	2.68 (5.43 / 0)	0.14 (5.91 / 5.26)	-	0.4 (5.04 / 3.58)	-	0.39 (5.04 / 3.61)
 	Percentile (%)	4.644	33.111	-	14.19	-	16.692
DNA primase activity	FC (WS / NS)	2.63 (5.21 / 0)	1.14 (1 / -0.09)	-0.25 (3.81 / 4.7)	-	-	0.74 (3.17 / 1.49)
 	Percentile (%)	4.69	6.942	81.758	-	-	9.323
branched-chain amino acid transmembrane transporter activity	FC (WS / NS)	2.63 (5.21 / 0)	-	-	0.92 (6.57 / 3)	-	1.13 (4.46 / 1.49)
 	Percentile (%)	4.737	-	-	7.778	-	6.516
metallocarboxypeptidase activity	FC (WS / NS)	2.58 (4.98 / 0)	0.14 (0 / -0.09)	-0.65 (3.58 / 6.17)	-2.68 (0 / 5.43)	-	0.07 (6.02 / 5.71)
 	Percentile (%)	4.784	25.982	86.908	97.365	-	44.662
shikimate kinase activity	FC (WS / NS)	2.58 (4.98 / 0)	-0.93 (0 / 0.91)	0.47 (7.78 / 5.32)	0.62 (4.52 / 2.58)	-	0.56 (4.75 / 2.91)
 	Percentile (%)	4.831	74.623	15.885	10.921	-	11.754
galactokinase activity	FC (WS / NS)	2.45 (4.46 / 0)	-1.44 (1 / 4.43)	-2.47 (0 / 4.52)	-1.23 (1.58 / 5.04)	-	-1.25 (1.58 / 5.15)
 	Percentile (%)	5.019	84.982	98.466	86.857	-	94.586
nucleoside diphosphate kinase activity	FC (WS / NS)	2.45 (4.46 / 0)	0.39 (7.38 / 5.4)	0.71 (5.21 / 2.81)	0.25 (5.13 / 4.17)	-	0.64 (5.36 / 3.08)
 	Percentile (%)	5.066	18.186	13.779	20.603	-	10.877
galactose binding	FC (WS / NS)	2.45 (4.46 / 0)	-	-	-1.23 (1.58 / 5.04)	-	-0.8 (2.58 / 5.23)
 	Percentile (%)	5.113	-	-	86.889	-	89.298
queuine tRNA-ribosyltransferase activity	FC (WS / NS)	2.45 (4.46 / 0)	-1.32 (0 / 1.49)	-0.36 (1.58 / 2.32)	-	-	-0.38 (2 / 2.91)
 	Percentile (%)	5.3	83.678	83.726	-	-	81.554
guanine deaminase activity	FC (WS / NS)	2.45 (4.46 / 0)	-	0.23 (5.25 / 4.32)	0.92 (3.91 / 1.58)	-	0.78 (4 / 1.91)
 	Percentile (%)	5.394	-	22.82	7.714	-	8.672
monosaccharide binding	FC (WS / NS)	2.45 (4.46 / 0)	-	-0.35 (2.58 / 3.58)	-0.93 (2.81 / 6.27)	-	-0.45 (3.81 / 5.58)
 	Percentile (%)	5.675	-	83.589	84.127	-	83.409
lysozyme activity	FC (WS / NS)	2.43 (4.4 / 0)	-	0 (0 / 0)	-	-	0.66 (4.52 / 2.49)
 	Percentile (%)	5.769	-	53.765	-	-	10.175
D-sedoheptulose 7-phosphate isomerase activity	FC (WS / NS)	2.27 (3.81 / 0)	-2.08 (0 / 3.23)	-0.2 (3 / 3.58)	-	-	-0.32 (3 / 3.99)
 	Percentile (%)	6.004	91.427	80.293	-	-	80.276
pseudouridine synthase activity	FC (WS / NS)	2.27 (3.81 / 0)	1.06 (5.04 / 1.91)	0.54 (7.13 / 4.58)	1.23 (6.04 / 2)	-	0.24 (5.75 / 4.71)
 	Percentile (%)	6.098	7.812	15.152	6.095	-	22.431
mucinaminylserine mucinaminidase activity	FC (WS / NS)	2.27 (3.81 / 0)	-	-	0.4 (5.32 / 3.81)	-	0.46 (3 / 1.91)
 	Percentile (%)	6.285	-	-	14.444	-	14.135
ligase activity, forming carbon-sulfur bonds	FC (WS / NS)	2.17 (8 / 1)	-1.45 (2 / 7.17)	-0.51 (6.6 / 9.83)	-0.32 (6.86 / 8.78)	-	-0.26 (5.52 / 6.82)
 	Percentile (%)	6.52	85.013	85.512	74.095	-	75.664
6,7-dihydropteridine reductase activity	FC (WS / NS)	1.99 (2.98 / 0)	-0.93 (0 / 0.91)	-	-	-	0.44 (5.52 / 3.81)
 	Percentile (%)	6.707	74.53	-	-	-	15.138
methylmalonyl-CoA epimerase activity	FC (WS / NS)	1.93 (2.81 / 0)	0.34 (7.88 / 6.01)	-	0.24 (6.83 / 5.64)	-	0.32 (7.46 / 5.79)
 	Percentile (%)	6.848	18.994	-	21.143	-	18.521
dextransucrase activity	FC (WS / NS)	1.93 (2.81 / 0)	-	-	2.94 (6.7 / 0)	-	-
 	Percentile (%)	6.895	-	-	0.095	-	-
O-acyltransferase activity	FC (WS / NS)	1.76 (7.74 / 1.58)	-0.34 (4.09 / 5.46)	-0.06 (6.98 / 7.3)	-	-	-0.07 (4.7 / 4.99)
 	Percentile (%)	7.129	65.088	74.113	-	-	66.115
carboxypeptidase activity	FC (WS / NS)	1.58 (4.98 / 1)	-0.46 (2.81 / 4.23)	-0.08 (8.71 / 9.29)	-2.68 (0 / 5.43)	-	0.05 (6.95 / 6.67)
 	Percentile (%)	7.176	67.542	75.463	97.333	-	47.444
phosphorelay response regulator activity	FC (WS / NS)	1.49 (1.81 / 0)	-0.53 (2.32 / 3.81)	-0.01 (11.49 / 11.62)	-0.13 (5.95 / 6.6)	-0.19 (-7.47 / -8.37)	-0.89 (1 / 2.71)
 	Percentile (%)	7.223	68.862	69.123	65.175	64.104	90.702
O-acetylhomoserine aminocarboxypropyltransferase activity	FC (WS / NS)	1.49 (1.81 / 0)	-	0.32 (5.36 / 4.09)	0.82 (5.32 / 2.58)	-	0.15 (5.04 / 4.43)
 	Percentile (%)	7.27	-	19.272	8.413	-	28.471
dihydropteroate synthase activity	FC (WS / NS)	1.49 (1.81 / 0)	0.13 (2.81 / 2.49)	0.05 (3.46 / 3.32)	-	-	0.4 (4.58 / 3.23)
 	Percentile (%)	7.317	33.515	39.551	-	-	16.391
guanylate kinase activity	FC (WS / NS)	1.49 (1.81 / 0)	0.48 (4.17 / 2.71)	0.37 (4.39 / 3.17)	0.81 (4.25 / 2)	-	0.61 (4.32 / 2.49)
 	Percentile (%)	7.364	15.981	17.693	8.698	-	11.328
tryptophan synthase activity	FC (WS / NS)	1.49 (1.81 / 0)	-	0.52 (5.58 / 3.58)	0.75 (4.58 / 2.32)	-	0.04 (4.64 / 4.49)
 	Percentile (%)	7.411	-	15.473	9.492	-	49.373
monovalent cation:proton antiporter activity	FC (WS / NS)	1.49 (1.81 / 0)	-0.93 (0 / 0.91)	1 (1 / 0)	-	-	-0.93 (0 / 0.91)
 	Percentile (%)	7.458	74.732	9.018	-	-	91.704
dTDP-4-dehydrorhamnose 3,5-epimerase activity	FC (WS / NS)	1.49 (1.81 / 0)	-0.93 (0 / 0.91)	0.83 (4.32 / 2)	1.37 (4.17 / 1)	-	0.89 (4.39 / 1.91)
 	Percentile (%)	7.598	75.462	12.978	5.492	-	7.92
protein-glutamate methylesterase activity	FC (WS / NS)	1.49 (1.81 / 0)	-	-	-	-	-0.17 (1.58 / 1.91)
 	Percentile (%)	7.645	-	-	-	-	72.356
antiporter activity	FC (WS / NS)	1.49 (1.81 / 0)	-0.72 (2.58 / 4.91)	-0.07 (5.98 / 6.32)	-0.64 (2.58 / 4.58)	-	0.23 (4.52 / 3.71)
 	Percentile (%)	7.692	72.014	74.846	81.111	-	23.308
solute:cation antiporter activity	FC (WS / NS)	1.49 (1.81 / 0)	-1.8 (0 / 2.49)	2.6 (5.04 / 0)	-	-	-0.07 (3.17 / 3.36)
 	Percentile (%)	7.739	89.129	0.183	-	-	65.388
solute:proton antiporter activity	FC (WS / NS)	1.49 (1.81 / 0)	-1.32 (0 / 1.49)	2.35 (4.09 / 0)	-	-	0.2 (3 / 2.49)
 	Percentile (%)	7.786	82.404	0.893	-	-	24.887
sodium:proton antiporter activity	FC (WS / NS)	1.49 (1.81 / 0)	0.14 (0 / -0.09)	0 (0 / 0)	-	-	-0.93 (0 / 0.91)
 	Percentile (%)	7.833	27.877	57.862	-	-	92.105
cation:cation antiporter activity	FC (WS / NS)	1.49 (1.81 / 0)	-1.54 (0 / 1.91)	1.37 (1.58 / 0)	-	-	-0.89 (1 / 2.71)
 	Percentile (%)	7.88	86.116	6.615	-	-	90.952
endoribonuclease activity, producing 5'-phosphomonoesters	FC (WS / NS)	1.49 (1.81 / 0)	0.73 (3.81 / 1.91)	0.07 (5.95 / 5.61)	1.43 (4.39 / 1)	-	0.09 (5.64 / 5.23)
 	Percentile (%)	7.927	13.449	34.63	5.365	-	38.997
formimidoyltetrahydrofolate cyclodeaminase activity	FC (WS / NS)	1.49 (1.81 / 0)	-0.44 (2.81 / 4.15)	-0.24 (6.78 / 8.21)	-2.6 (0 / 5.04)	-0.25 (-8.91 / -10.43)	-0.28 (3.46 / 4.43)
 	Percentile (%)	7.974	67.029	81.689	96.508	70.703	76.14
3'-tRNA processing endoribonuclease activity	FC (WS / NS)	1.49 (1.81 / 0)	0.14 (0 / -0.09)	-	-	-	1.88 (2.32 / -0.09)
 	Percentile (%)	8.114	30.238	-	-	-	1.479
UDP-N-acetylmuramoyl-tripeptide-D-alanyl-D-alanine ligase activity	FC (WS / NS)	1.49 (1.81 / 0)	-0.81 (2.81 / 5.69)	0.45 (4.7 / 3.17)	0.39 (4.64 / 3.32)	-	0.29 (4.75 / 3.71)
 	Percentile (%)	8.302	73.101	16.251	14.952	-	19.975
cephalosporin-C deacetylase activity	FC (WS / NS)	1.49 (1.81 / 0)	-	0 (0 / 0)	-	-	-
 	Percentile (%)	8.349	-	62.692	-	-	-
metal ion:proton antiporter activity	FC (WS / NS)	1.49 (1.81 / 0)	0.14 (0 / -0.09)	0 (0 / 0)	-	-	-0.93 (0 / 0.91)
 	Percentile (%)	8.396	31.465	63.31	-	-	92.707
protein methylesterase activity	FC (WS / NS)	1.49 (1.81 / 0)	-	-	-	-	-0.17 (1.58 / 1.91)
 	Percentile (%)	8.443	-	-	-	-	72.632
proline dipeptidase activity	FC (WS / NS)	1.49 (1.81 / 0)	-	-	0.92 (6.19 / 2.81)	-	0.85 (6.64 / 3.23)
 	Percentile (%)	8.537	-	-	7.841	-	7.995
ferroxidase activity	FC (WS / NS)	1.31 (10.4 / 3.58)	-0.51 (4.32 / 6.58)	-0.56 (4.09 / 6.52)	-0.59 (4.17 / 6.78)	0.43 (-6.43 / -5.02)	0.34 (8.28 / 6.35)
 	Percentile (%)	8.583	68.52	86.015	80.794	8.267	18.02
oxidoreductase activity, oxidizing metal ions, oxygen as acceptor	FC (WS / NS)	1.31 (10.4 / 3.58)	-0.44 (5.32 / 7.58)	-0.49 (5.09 / 7.52)	-0.51 (5.17 / 7.78)	0.55 (-5.43 / -4.02)	0.34 (8.28 / 6.35)
 	Percentile (%)	8.63	67.076	85.328	79.397	6.526	18.045
cytidylate kinase activity	FC (WS / NS)	1.26 (1.4 / 0)	1.61 (4.81 / 0.91)	1.56 (4.91 / 1)	1.54 (4.81 / 1)	-	1.32 (5.21 / 1.49)
 	Percentile (%)	8.677	3.448	5.608	4.889	-	3.634
4-hydroxy-tetrahydrodipicolinate synthase	FC (WS / NS)	1.26 (1.4 / 0)	2.56 (4.32 / -0.09)	0.77 (5.49 / 2.81)	1.67 (5.36 / 1)	-	1.13 (5.36 / 1.91)
 	Percentile (%)	8.724	0.186	13.321	4.603	-	6.667
peptidoglycan glycosyltransferase activity	FC (WS / NS)	1.26 (1.4 / 0)	0.8 (2.32 / 0.91)	0.09 (6.83 / 6.34)	-	-	0.72 (5.13 / 2.71)
 	Percentile (%)	8.771	13.014	32.456	-	-	9.624
diacetyl reductase ((S)-acetoin forming) activity	FC (WS / NS)	1.26 (1.4 / 0)	-	-	0.37 (5.88 / 4.32)	-	0.68 (6 / 3.36)
 	Percentile (%)	8.818	-	-	15.397	-	10.025
3-dehydroquinate synthase activity	FC (WS / NS)	0.86 (0.81 / 0)	-	0.61 (7.23 / 4.39)	2.32 (4 / 0)	-	0.79 (4.58 / 2.23)
 	Percentile (%)	8.865	-	14.511	1.587	-	8.596
ATP-dependent RNA helicase activity	FC (WS / NS)	0.86 (0.81 / 0)	0.01 (4.86 / 4.81)	-	-	-	0.95 (5.25 / 2.23)
 	Percentile (%)	8.912	45.302	-	-	-	7.494
glutamate dehydrogenase [NAD(P)+] activity	FC (WS / NS)	0.86 (0.81 / 0)	-0.22 (7.88 / 9.32)	-	-0.23 (8.52 / 10.16)	-	0.44 (4.52 / 3.08)
 	Percentile (%)	8.959	60.988	-	69.968	-	15.163
glutamate dehydrogenase (NADP+) activity	FC (WS / NS)	0.86 (0.81 / 0)	0.33 (6.89 / 5.3)	-	0.52 (6.94 / 4.52)	-	0.63 (4.39 / 2.49)
 	Percentile (%)	9.006	19.46	-	12.063	-	11.028
serine-type endopeptidase inhibitor activity	FC (WS / NS)	0.86 (0.81 / 0)	0.14 (0 / -0.09)	0 (0 / 0)	-	-	1.29 (5.09 / 1.49)
 	Percentile (%)	9.053	26.184	54.841	-	-	3.784
xenobiotic transmembrane transporting ATPase activity	FC (WS / NS)	0.86 (0.81 / 0)	-1.32 (0 / 1.49)	-	-	-	-
 	Percentile (%)	9.099	83.693	-	-	-	-
polyol transmembrane transporter activity	FC (WS / NS)	0.86 (0.81 / 0)	-0.16 (3.91 / 4.49)	0.01 (7.73 / 7.67)	-	-0.01 (-8.39 / -8.45)	0.68 (3 / 1.49)
 	Percentile (%)	9.24	59.668	48.707	-	47.571	9.95
galactitol transmembrane transporter activity	FC (WS / NS)	0.86 (0.81 / 0)	-	1.84 (2.58 / 0)	-	-	-
 	Percentile (%)	9.287	-	3.502	-	-	-
carbon-oxygen lyase activity, acting on phosphates	FC (WS / NS)	0.86 (0.81 / 0)	0.45 (4.32 / 2.91)	0.47 (9.79 / 6.78)	2.74 (5.7 / 0)	-	0.83 (6.27 / 3.08)
 	Percentile (%)	9.334	16.555	16.045	0.317	-	8.221
intramolecular oxidoreductase activity, transposing C=C bonds	FC (WS / NS)	0.86 (0.81 / 0)	0.69 (5.81 / 3.23)	-0.1 (8.02 / 8.68)	0.49 (6.29 / 4.17)	-	-0.69 (1 / 2.23)
 	Percentile (%)	9.381	13.729	76.631	12.349	-	88.195
pyruvate synthase activity	FC (WS / NS)	0.86 (0.81 / 0)	-	-0.12 (9.94 / 10.93)	-0.15 (8.82 / 9.87)	-0.31 (-7.8 / -9.45)	-
 	Percentile (%)	9.428	-	77.752	66.381	76.142	-
trans-2-decenoyl-acyl-carrier-protein isomerase activity	FC (WS / NS)	0.86 (0.81 / 0)	0.85 (4.81 / 2.23)	0.31 (5.09 / 3.91)	0.59 (5.29 / 3.17)	-	-0.69 (1 / 2.23)
 	Percentile (%)	9.475	12.611	19.524	11.429	-	88.296
2-oxoglutarate synthase activity	FC (WS / NS)	0.86 (0.81 / 0)	-	-0.12 (9.94 / 10.93)	0.24 (6.83 / 5.64)	-0.2 (-7.81 / -8.82)	0.16 (5.21 / 4.55)
 	Percentile (%)	9.568	-	77.775	21.238	65.265	27.769
organic hydroxy compound transmembrane transporter activity	FC (WS / NS)	0.86 (0.81 / 0)	-0.14 (4.64 / 5.23)	0.02 (9.86 / 9.74)	-	-0.01 (-6.81 / -6.86)	0.29 (4.17 / 3.23)
 	Percentile (%)	9.615	58.969	46.967	-	49.094	19.925
