GO Term	Fold Change	Unipept	EggNOG	MEGAN	MetaGOmics	MPA	Prophane
glucosidase activity	FC (WS / NS)	1.88 (2.32 / -0.09)	0.4 (4.39 / 3.08)	0.4 (9.59 / 7.04)	2.6 (5.04 / 0)	-	-
 	Percentile (%)	1.404	17.642	16.983	0.73	-	-
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen	FC (WS / NS)	1.88 (2.32 / -0.09)	0.23 (7.59 / 6.33)	-0.61 (2.32 / 4.09)	-	-	-
 	Percentile (%)	1.429	22.768	86.793	-	-	-
3'-tRNA processing endoribonuclease activity	FC (WS / NS)	1.88 (2.32 / -0.09)	0.14 (0 / -0.09)	-	-	1.49 (1.81 / 0)	-
 	Percentile (%)	1.479	30.238	-	-	8.114	-
cobalt-factor II C20-methyltransferase activity	FC (WS / NS)	1.88 (2.32 / -0.09)	-	0.11 (4.09 / 3.7)	-	-	-
 	Percentile (%)	1.504	-	30.327	-	-	-
aspartate racemase activity	FC (WS / NS)	1.88 (2.32 / -0.09)	-	1.73 (2.32 / 0)	-	-	-
 	Percentile (%)	1.529	-	4.166	-	-	-
L-threonylcarbamoyladenylate synthase	FC (WS / NS)	1.88 (2.32 / -0.09)	-	-	-	-	-
 	Percentile (%)	1.554	-	-	-	-	-
scopolin beta-glucosidase activity	FC (WS / NS)	1.88 (2.32 / -0.09)	-	-	-	-	-
 	Percentile (%)	1.579	-	-	-	-	-
L-iditol 2-dehydrogenase activity	FC (WS / NS)	1.73 (2 / -0.09)	-	-	-	-	-
 	Percentile (%)	1.654	-	-	-	-	-
catalase activity	FC (WS / NS)	1.73 (2 / -0.09)	-	-	-	0 (0 / 0)	-
 	Percentile (%)	1.679	-	-	-	41.276	-
cytidine deaminase activity	FC (WS / NS)	1.73 (2 / -0.09)	1.14 (1 / -0.09)	0 (1 / 1)	-	-	-
 	Percentile (%)	1.704	6.958	54.108	-	-	-
thymidine phosphorylase activity	FC (WS / NS)	1.73 (2 / -0.09)	1.37 (1.58 / 0)	1.37 (1.58 / 0)	-	-	-
 	Percentile (%)	1.729	5.575	6.477	-	-	-
glyoxylate reductase (NADP) activity	FC (WS / NS)	1.73 (2 / -0.09)	0.14 (0 / -0.09)	-	-	-	-
 	Percentile (%)	1.855	28.778	-	-	-	-
L-aspartate:fumarate oxidoreductase activity	FC (WS / NS)	1.73 (2 / -0.09)	2.06 (3.17 / 0)	0 (0 / 0)	-	-	-
 	Percentile (%)	1.93	1.491	61.845	-	-	-
6-phosphogluconolactonase activity	FC (WS / NS)	1.59 (4.75 / 0.91)	1.93 (2.81 / 0)	0.46 (5.86 / 4)	2.06 (3.17 / 0)	-	-
 	Percentile (%)	2.155	2.097	16.205	3.524	-	-
UDP-glucose 6-dehydrogenase activity	FC (WS / NS)	1.51 (1.58 / -0.09)	-	-2.06 (0 / 3.17)	-	-	-
 	Percentile (%)	2.206	-	96.887	-	-	-
N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity	FC (WS / NS)	1.51 (1.58 / -0.09)	1 (1 / 0)	0 (1 / 1)	-	-	-
 	Percentile (%)	2.231	8.278	53.902	-	-	-
2',3'-cyclic-nucleotide 3'-phosphodiesterase activity	FC (WS / NS)	1.51 (1.58 / -0.09)	-	-	-	-	-
 	Percentile (%)	2.256	-	-	-	-	-
phosphatidate cytidylyltransferase activity	FC (WS / NS)	1.51 (1.58 / -0.09)	-	1 (1 / 0)	-	-	-
 	Percentile (%)	2.281	-	8.835	-	-	-
2'-5'-RNA ligase activity	FC (WS / NS)	1.51 (1.58 / -0.09)	-	-	-	-	-
 	Percentile (%)	2.431	-	-	-	-	-
betaine-aldehyde dehydrogenase activity	FC (WS / NS)	1.51 (1.58 / -0.09)	-	-	-	-	-
 	Percentile (%)	2.456	-	-	-	-	-
choline dehydrogenase activity	FC (WS / NS)	1.51 (1.58 / -0.09)	0.42 (2.32 / 1.49)	-	-	-	-
 	Percentile (%)	2.481	17.425	-	-	-	-
rRNA (guanine-N2-)-methyltransferase activity	FC (WS / NS)	1.51 (1.58 / -0.09)	1 (1 / 0)	0.1 (3.46 / 3.17)	-	-	-
 	Percentile (%)	2.506	8.806	32.067	-	-	-
protocatechuate 3,4-dioxygenase activity	FC (WS / NS)	1.51 (1.58 / -0.09)	-	-	-	-	-
 	Percentile (%)	2.732	-	-	-	-	-
3-deoxy-manno-octulosonate-8-phosphatase activity	FC (WS / NS)	1.51 (1.58 / -0.09)	-	-	-	-	-
 	Percentile (%)	2.757	-	-	-	-	-
ureidoglycolate lyase activity	FC (WS / NS)	1.51 (1.58 / -0.09)	-	-	-	-	-
 	Percentile (%)	3.008	-	-	-	-	-
cobalt ion binding	FC (WS / NS)	1.51 (1.58 / -0.09)	0.05 (6.07 / 5.84)	-0.04 (9.57 / 9.86)	0.1 (7.55 / 6.95)	-	0.07 (-12.23 / -11.7)
 	Percentile (%)	3.033	40.426	72.717	31.81	-	36.403
S-(hydroxymethyl)glutathione dehydrogenase activity	FC (WS / NS)	1.51 (1.58 / -0.09)	-	-2 (0 / 3)	-	-	-
 	Percentile (%)	3.058	-	96.773	-	-	-
23S rRNA (guanine(2445)-N(2))-methyltransferase activity	FC (WS / NS)	1.51 (1.58 / -0.09)	-	0 (1.58 / 1.58)	-	-	-
 	Percentile (%)	3.133	-	63.882	-	-	-
excitatory extracellular ligand-gated ion channel activity	FC (WS / NS)	1.46 (4.25 / 0.91)	-	-	-	-	-
 	Percentile (%)	3.233	-	-	-	-	-
extracellularly glutamate-gated ion channel activity	FC (WS / NS)	1.46 (4.25 / 0.91)	-	-	-	-	-
 	Percentile (%)	3.258	-	-	-	-	-
3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity	FC (WS / NS)	1.44 (4.17 / 0.91)	-	0.49 (6.86 / 4.58)	2.27 (3.81 / 0)	-	-
 	Percentile (%)	3.308	-	15.724	1.841	-	-
protein tyrosine kinase activity	FC (WS / NS)	1.44 (4.17 / 0.91)	-1.48 (2 / 7.36)	0.16 (8.12 / 7.17)	0.93 (4.7 / 2)	-	-
 	Percentile (%)	3.333	85.106	26.802	7.556	-	-
UDP-4-amino-4-deoxy-L-arabinose aminotransferase	FC (WS / NS)	1.44 (4.17 / 0.91)	-	-	-	-	-
 	Percentile (%)	3.358	-	-	-	-	-
transcription coregulator activity	FC (WS / NS)	1.39 (4 / 0.91)	0.56 (5.25 / 3.23)	-1 (0 / 1)	-0.24 (7.44 / 8.99)	-	-
 	Percentile (%)	3.383	15.142	88.487	70.381	-	-
transcription coactivator activity	FC (WS / NS)	1.39 (4 / 0.91)	1 (1 / 0)	0 (0 / 0)	-	-	-
 	Percentile (%)	3.409	8.247	53.719	-	-	-
glycyl-radical enzyme activating activity	FC (WS / NS)	1.39 (4 / 0.91)	-	0.74 (5.7 / 3)	1.51 (4.7 / 1)	-	-
 	Percentile (%)	3.434	-	13.458	5.079	-	-
[formate-C-acetyltransferase]-activating enzyme activity	FC (WS / NS)	1.39 (4 / 0.91)	-	0.93 (4.7 / 2)	2.23 (3.7 / 0)	-	-
 	Percentile (%)	3.459	-	12.383	2.508	-	-
adenosylmethionine decarboxylase activity	FC (WS / NS)	1.36 (3.91 / 0.91)	1.93 (2.81 / 0)	2.06 (3.17 / 0)	2.06 (3.17 / 0)	-	-
 	Percentile (%)	3.484	1.972	2.289	3.365	-	-
tagatose-6-phosphate kinase activity	FC (WS / NS)	1.36 (6.44 / 1.91)	-	1.02 (7.09 / 3)	1.33 (5.49 / 1.58)	2.9 (6.46 / 0)	-
 	Percentile (%)	3.559	-	8.309	5.619	2.439	-
cytidylate kinase activity	FC (WS / NS)	1.32 (5.21 / 1.49)	1.61 (4.81 / 0.91)	1.56 (4.91 / 1)	1.54 (4.81 / 1)	1.26 (1.4 / 0)	-
 	Percentile (%)	3.634	3.448	5.608	4.889	8.677	-
3-isopropylmalate dehydratase activity	FC (WS / NS)	1.3 (3.7 / 0.91)	0 (0 / 0)	1.41 (4.32 / 1)	2.11 (3.32 / 0)	-	-
 	Percentile (%)	3.659	46.84	5.928	3.016	-	-
phospholipid-translocating ATPase activity	FC (WS / NS)	1.3 (3.7 / 0.91)	-	1.43 (4.39 / 1)	-	-	-
 	Percentile (%)	3.684	-	5.768	-	-	-
dipeptidyl-peptidase activity	FC (WS / NS)	1.3 (3.7 / 0.91)	0.65 (2 / 0.91)	0.22 (4.32 / 3.58)	2.27 (3.81 / 0)	-	-
 	Percentile (%)	3.709	14.226	23.69	1.937	-	-
rRNA (cytosine-N4-)-methyltransferase activity	FC (WS / NS)	1.3 (3.7 / 0.91)	1.84 (2.58 / 0)	2 (3 / 0)	1.93 (2.81 / 0)	-	-
 	Percentile (%)	3.734	2.827	2.998	4.413	-	-
serine-type endopeptidase inhibitor activity	FC (WS / NS)	1.29 (5.09 / 1.49)	0.14 (0 / -0.09)	0 (0 / 0)	-	0.86 (0.81 / 0)	-
 	Percentile (%)	3.784	26.184	54.841	-	9.053	-
arabinose-5-phosphate isomerase activity	FC (WS / NS)	1.23 (3.46 / 0.91)	0.13 (3.46 / 3.08)	0.05 (3.46 / 3.32)	-	-	-
 	Percentile (%)	3.86	33.39	39.574	-	-	-
S-adenosylhomocysteine deaminase activity	FC (WS / NS)	1.23 (3.46 / 0.91)	-	0.23 (5.25 / 4.32)	2.06 (3.17 / 0)	3.13 (7.73 / 0)	-
 	Percentile (%)	3.885	-	22.843	3.714	1.689	-
threonine synthase activity	FC (WS / NS)	1.21 (5.73 / 1.91)	0 (0 / 0)	1.07 (5.29 / 2)	-	-	-
 	Percentile (%)	3.91	46.933	8.171	-	-	-
tetrahydrodipicolinate N-acetyltransferase activity	FC (WS / NS)	1.21 (4.75 / 1.49)	-	0.41 (4.52 / 3.17)	1.1 (4.52 / 1.58)	0.02 (8.15 / 7.99)	-0.57 (-7.17 / -10.19)
 	Percentile (%)	3.935	-	16.823	6.794	36.82	86.657
tagatose-bisphosphate aldolase activity	FC (WS / NS)	1.16 (5.49 / 1.91)	-1.32 (0 / 1.49)	0.17 (9.74 / 8.52)	1.32 (5.46 / 1.58)	2.84 (6.15 / 0)	-0.52 (-6.16 / -8.41)
 	Percentile (%)	3.985	83.771	26.024	5.683	3.096	85.062
DNA (cytosine-5-)-methyltransferase activity	FC (WS / NS)	1.14 (1 / -0.09)	0.14 (0 / -0.09)	1.37 (1.58 / 0)	-	-	-
 	Percentile (%)	4.01	25.889	6.111	-	-	-
acetate-CoA ligase activity	FC (WS / NS)	1.14 (1 / -0.09)	-	-	-	-	-
 	Percentile (%)	4.035	-	-	-	-	-
methylcrotonoyl-CoA carboxylase activity	FC (WS / NS)	1.14 (1 / -0.09)	-	-0.19 (7.29 / 8.46)	-	0 (0 / 0)	-
 	Percentile (%)	4.06	-	79.995	-	41.417	-
ribonuclease P activity	FC (WS / NS)	1.14 (1 / -0.09)	-	-	-	-	-
 	Percentile (%)	4.085	-	-	-	-	-
tRNA-specific ribonuclease activity	FC (WS / NS)	1.14 (1 / -0.09)	-	-0.35 (2.58 / 3.58)	-	-	-
 	Percentile (%)	4.11	-	83.543	-	-	-
alpha-galactosidase activity	FC (WS / NS)	1.14 (1 / -0.09)	-	1.58 (2 / 0)	-	-	-
 	Percentile (%)	4.135	-	4.417	-	-	-
peptide alpha-N-acetyltransferase activity	FC (WS / NS)	1.14 (1 / -0.09)	-	-	-	-	-
 	Percentile (%)	4.16	-	-	-	-	-
thiamine diphosphokinase activity	FC (WS / NS)	1.14 (1 / -0.09)	-	0 (0 / 0)	-	-	-
 	Percentile (%)	4.185	-	54.749	-	-	-
anion channel activity	FC (WS / NS)	1.14 (1 / -0.09)	-	-1.58 (0 / 2)	-	-	-
 	Percentile (%)	4.211	-	93.751	-	-	-
chloride channel activity	FC (WS / NS)	1.14 (1 / -0.09)	-	-1 (0 / 1)	-	-	-
 	Percentile (%)	4.236	-	88.808	-	-	-
alkanesulfonate monooxygenase activity	FC (WS / NS)	1.14 (1 / -0.09)	-	-2.23 (0 / 3.7)	-	-	-
 	Percentile (%)	4.486	-	97.391	-	-	-
L-fuculose-phosphate aldolase activity	FC (WS / NS)	1.14 (1 / -0.09)	-	1 (1 / 0)	-	-	-
 	Percentile (%)	4.511	-	9.453	-	-	-
[protein-PII] uridylyltransferase activity	FC (WS / NS)	1.14 (1 / -0.09)	-	-	-	-	-
 	Percentile (%)	4.536	-	-	-	-	-
mannitol-1-phosphate 5-dehydrogenase activity	FC (WS / NS)	1.14 (1 / -0.09)	0 (0 / 0)	0 (0 / 0)	-	-	-
 	Percentile (%)	4.561	47.678	56.832	-	-	-
propionate kinase activity	FC (WS / NS)	1.14 (1 / -0.09)	-	-	-	-	0.18 (-10.72 / -9.59)
 	Percentile (%)	4.586	-	-	-	-	22.915
ribosomal-protein-alanine N-acetyltransferase activity	FC (WS / NS)	1.14 (1 / -0.09)	-	-	-	-	-
 	Percentile (%)	4.612	-	-	-	-	-
nickel cation transmembrane transporter activity	FC (WS / NS)	1.14 (1 / -0.09)	-	0.36 (2.32 / 1.58)	-	-	-
 	Percentile (%)	4.862	-	18.311	-	-	-
thiosulfate transmembrane transporter activity	FC (WS / NS)	1.14 (1 / -0.09)	-	-	-	-	-
 	Percentile (%)	4.887	-	-	-	-	-
ATPase-coupled organic phosphonate transmembrane transporter activity	FC (WS / NS)	1.14 (1 / -0.09)	-	-	-	-	-
 	Percentile (%)	4.912	-	-	-	-	-
organic phosphonate transmembrane transporter activity	FC (WS / NS)	1.14 (1 / -0.09)	-	-2.45 (0 / 4.46)	-	-	-
 	Percentile (%)	4.937	-	98.375	-	-	-
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	FC (WS / NS)	1.14 (1 / -0.09)	-	-0.29 (4.7 / 5.95)	-	-	-
 	Percentile (%)	4.962	-	82.605	-	-	-
Rab GTPase binding	FC (WS / NS)	1.14 (1 / -0.09)	1.99 (2.58 / -0.09)	-	-	-	-
 	Percentile (%)	4.987	1.926	-	-	-	-
ubiquitin-like protein binding	FC (WS / NS)	1.14 (1 / -0.09)	1.58 (2 / 0)	-	-	-	-
 	Percentile (%)	5.313	4.178	-	-	-	-
1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming) activity	FC (WS / NS)	1.14 (1 / -0.09)	-	-	-	-	-
 	Percentile (%)	5.439	-	-	-	-	-
peptide N-acetyltransferase activity	FC (WS / NS)	1.14 (1 / -0.09)	-	-	-	-	-
 	Percentile (%)	5.464	-	-	-	-	-
ATPase inhibitor activity	FC (WS / NS)	1.14 (1 / -0.09)	-0.12 (3.32 / 3.71)	-	-	-	-
 	Percentile (%)	5.539	58.487	-	-	-	-
ubiquitin binding	FC (WS / NS)	1.14 (1 / -0.09)	1 (1 / 0)	-	-	-	-
 	Percentile (%)	5.815	10.188	-	-	-	-
electron transporter, transferring electrons from CoQH2-cytochrome c reductase complex and cytochrome c oxidase complex activity	FC (WS / NS)	1.14 (1 / -0.09)	1.14 (1 / -0.09)	-	-	-	-
 	Percentile (%)	6.015	7.299	-	-	-	-
S-methyl-5-thioribose-1-phosphate isomerase activity	FC (WS / NS)	1.14 (1 / -0.09)	0.14 (0 / -0.09)	0 (0 / 0)	-	-	-
 	Percentile (%)	6.09	30.704	62.303	-	-	-
raffinose alpha-galactosidase activity	FC (WS / NS)	1.14 (1 / -0.09)	-	1 (1 / 0)	-	-	-
 	Percentile (%)	6.216	-	11.559	-	-	-
ATPase-coupled thiosulfate transmembrane transporter activity	FC (WS / NS)	1.14 (1 / -0.09)	-	-	-	-	-
 	Percentile (%)	6.416	-	-	-	-	-
branched-chain amino acid transmembrane transporter activity	FC (WS / NS)	1.13 (4.46 / 1.49)	-	-	0.92 (6.57 / 3)	2.63 (5.21 / 0)	-
 	Percentile (%)	6.516	-	-	7.778	4.737	-
thiosulfate sulfurtransferase activity	FC (WS / NS)	1.13 (3.17 / 0.91)	-1.32 (0 / 1.49)	0.24 (5.09 / 4.17)	-	-	-
 	Percentile (%)	6.541	83.336	22.293	-	-	-
tetraacyldisaccharide 4'-kinase activity	FC (WS / NS)	1.13 (3.17 / 0.91)	0.65 (2 / 0.91)	0.93 (2.81 / 1)	2.06 (3.17 / 0)	0.72 (4.46 / 2.32)	-0.16 (-7.79 / -8.58)
 	Percentile (%)	6.566	14.257	12.36	3.492	9.85	61.929
S-methyl-5-thioadenosine phosphorylase activity	FC (WS / NS)	1.13 (3.17 / 0.91)	-	0.44 (5.21 / 3.58)	-	0.22 (4.81 / 4)	-0.26 (-8.73 / -10.25)
 	Percentile (%)	6.591	-	16.342	-	15.76	71.284
5'-methylthioadenosine deaminase activity	FC (WS / NS)	1.13 (3.17 / 0.91)	-	-	2.06 (3.17 / 0)	3.13 (7.73 / 0)	-
 	Percentile (%)	6.617	-	-	3.778	1.735	-
glutathione-disulfide reductase activity	FC (WS / NS)	1.13 (5.36 / 1.91)	1.62 (4.86 / 0.91)	0.17 (7.85 / 6.85)	2.63 (5.21 / 0)	0.45 (7.8 / 5.46)	-
 	Percentile (%)	6.642	3.432	26.07	0.571	11.538	-
4-hydroxy-tetrahydrodipicolinate synthase	FC (WS / NS)	1.13 (5.36 / 1.91)	2.56 (4.32 / -0.09)	0.77 (5.49 / 2.81)	1.67 (5.36 / 1)	1.26 (1.4 / 0)	-
 	Percentile (%)	6.667	0.186	13.321	4.603	8.724	-
peptide disulfide oxidoreductase activity	FC (WS / NS)	1.13 (5.36 / 1.91)	0.93 (6.44 / 2.91)	0.15 (9.43 / 8.43)	1.23 (6.79 / 2.32)	0.45 (7.8 / 5.46)	-
 	Percentile (%)	6.692	12.16	27.901	6.127	11.585	-
glutathione disulfide oxidoreductase activity	FC (WS / NS)	1.13 (5.36 / 1.91)	1.09 (5.86 / 2.23)	0.15 (8.85 / 7.85)	1.48 (6.21 / 1.58)	0.45 (7.8 / 5.46)	-
 	Percentile (%)	6.717	7.61	27.329	5.143	11.632	-
D-alanine [D-alanyl carrier protein] ligase activity	FC (WS / NS)	1.11 (5.29 / 1.91)	-	-	1.26 (5.17 / 1.58)	3.17 (7.99 / 0)	-
 	Percentile (%)	6.892	-	-	6.032	1.313	-
D-alanine:2-oxoglutarate aminotransferase activity	FC (WS / NS)	1.08 (4.25 / 1.49)	1.44 (4.17 / 0.91)	-	1.08 (4.46 / 1.58)	-	-
 	Percentile (%)	6.942	5.327	-	6.889	-	-
tRNA (adenine-C2-)-methyltransferase activity	FC (WS / NS)	1.07 (3 / 0.91)	1 (1 / 0)	1 (3 / 1)	-	-2.99 (0 / 6.92)	-
 	Percentile (%)	6.967	8.231	8.629	-	91.51	-
tRNA (adenine) methyltransferase activity	FC (WS / NS)	1.07 (3 / 0.91)	1.58 (2 / 0)	0.74 (4 / 2)	-	-2.99 (0 / 6.92)	-
 	Percentile (%)	6.992	3.991	13.504	-	91.557	-
methylthiotransferase activity	FC (WS / NS)	1.07 (3 / 0.91)	-0.97 (1 / 2.91)	-	-	-	-
 	Percentile (%)	7.068	79.888	-	-	-	-
transferase activity, transferring alkylthio groups	FC (WS / NS)	1.07 (3 / 0.91)	-0.8 (1.58 / 3.49)	-	-	-	-
 	Percentile (%)	7.093	72.713	-	-	-	-
2,5-didehydrogluconate reductase activity	FC (WS / NS)	1.07 (3 / 0.91)	-	-	-	-	0.26 (-10.37 / -8.84)
 	Percentile (%)	7.118	-	-	-	-	14.793
rRNA (adenine-C2-)-methyltransferase activity	FC (WS / NS)	1.07 (3 / 0.91)	1 (1 / 0)	1 (3 / 1)	-	-2.99 (0 / 6.92)	-
 	Percentile (%)	7.143	11.135	11.765	-	91.745	-
protein methylthiotransferase activity	FC (WS / NS)	1.07 (3 / 0.91)	-	-	-	-	-
 	Percentile (%)	7.168	-	-	-	-	-
carbon-monoxide dehydrogenase (acceptor) activity	FC (WS / NS)	1.07 (5.09 / 1.91)	-	0.23 (8.82 / 7.39)	2.55 (4.86 / 0)	-	-0.02 (-9.81 / -9.9)
 	Percentile (%)	7.193	-	23.049	0.794	-	49.239
beta-N-acetylhexosaminidase activity	FC (WS / NS)	1.03 (5.58 / 2.23)	-	1.08 (6.58 / 2.58)	-	-0.14 (0.81 / 1)	-
 	Percentile (%)	7.293	-	8.125	-	63.508	-
hexosaminidase activity	FC (WS / NS)	1.03 (5.58 / 2.23)	-	0.9 (7.58 / 3.58)	1.84 (6.17 / 1)	-0.14 (0.81 / 1)	-
 	Percentile (%)	7.318	-	12.451	4.571	63.602	-
fructokinase activity	FC (WS / NS)	1.01 (5.49 / 2.23)	0.99 (5.43 / 2.23)	-	0.96 (5.46 / 2.32)	3.17 (7.98 / 0)	-
 	Percentile (%)	7.343	12.005	-	7.397	1.454	-
imidazoleglycerol-phosphate synthase activity	FC (WS / NS)	1 (2.81 / 0.91)	1 (1 / 0)	1 (1 / 0)	-	-	-
 	Percentile (%)	7.368	8.014	8.377	-	-	-
biotin binding	FC (WS / NS)	0.98 (7.37 / 3.23)	-0.32 (1 / 1.49)	-	0.89 (7.02 / 3.32)	3.58 (10.93 / 0)	-
 	Percentile (%)	7.419	63.892	-	8.063	0.047	-
enoyl-CoA hydratase activity	FC (WS / NS)	0.98 (5.36 / 2.23)	-	-0.24 (6.29 / 7.6)	1.14 (4.7 / 1.58)	0.26 (3.98 / 3.17)	-0.19 (-9.1 / -10.24)
 	Percentile (%)	7.444	-	81.575	6.54	14.259	64.394
glucose-6-phosphate dehydrogenase activity	FC (WS / NS)	0.96 (5.29 / 2.23)	-1.53 (1 / 4.76)	1.25 (5.13 / 1.58)	1.05 (5.21 / 2)	2.84 (6.15 / 0)	-
 	Percentile (%)	7.469	85.324	7.736	7.016	2.955	-
ATP-dependent RNA helicase activity	FC (WS / NS)	0.95 (5.25 / 2.23)	0.01 (4.86 / 4.81)	-	-	0.86 (0.81 / 0)	-
 	Percentile (%)	7.494	45.302	-	-	8.912	-
small ribosomal subunit rRNA binding	FC (WS / NS)	0.95 (5.25 / 2.23)	0.19 (6.02 / 5.15)	-	-0.16 (6.55 / 7.42)	0.57 (6.68 / 4.17)	-
