GO Term	Fold Change	Prophane	EggNOG	MEGAN	MetaGOmics	MPA	Unipept
antioxidant activity	FC (WS / NS)	0.63 (-3.75 / -2.78)	0.24 (8.85 / 7.36)	0.06 (13.65 / 13.02)	0.06 (9.46 / 9.06)	-0.18 (11.17 / 12.8)	0.06 (9.54 / 9.12)
 	Percentile (%)	5.656	22.597	35.798	40.476	65.385	45.739
oxidoreductase activity, acting on peroxide as acceptor	FC (WS / NS)	0.63 (-3.75 / -2.78)	0.32 (8.4 / 6.52)	0.05 (10.99 / 10.55)	-1.29 (1 / 3.91)	-0.17 (11.03 / 12.54)	0.04 (8.92 / 8.66)
 	Percentile (%)	5.729	19.553	37.583	87.397	64.822	49.549
ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism	FC (WS / NS)	0.62 (-4.27 / -3.12)	0.65 (2 / 0.91)	0.03 (11.83 / 11.59)	0 (8.33 / 8.31)	-2.91 (0 / 6.52)	0.2 (7.06 / 6.01)
 	Percentile (%)	5.801	14.303	43.145	51.206	90.432	24.762
P-P-bond-hydrolysis-driven transmembrane transporter activity	FC (WS / NS)	0.61 (-2.47 / -1.96)	0.05 (9.41 / 9.07)	0.02 (15.8 / 15.58)	0.01 (10.09 / 10.03)	-	-
 	Percentile (%)	5.874	40.332	46.304	50.349	-	-
ATPase activity, coupled to movement of substances	FC (WS / NS)	0.61 (-2.47 / -1.96)	0.05 (9.41 / 9.07)	0.03 (15.6 / 15.3)	0.02 (10.07 / 9.92)	-	-
 	Percentile (%)	6.019	40.363	43.305	47.175	-	-
iron ion binding	FC (WS / NS)	0.6 (0.86 / 0.23)	-0.2 (7.28 / 8.48)	-0.01 (16.53 / 16.7)	-0.03 (10.78 / 11.06)	-0.05 (18.03 / 18.65)	-0.04 (10.57 / 10.88)
 	Percentile (%)	6.091	60.662	68.917	55.778	52.674	63.684
translation elongation factor activity	FC (WS / NS)	0.6 (2.32 / 1.2)	-0.02 (11.04 / 11.22)	-0.03 (14.31 / 14.6)	-0.05 (10.85 / 11.26)	0.04 (23.67 / 23.03)	-0.02 (11.28 / 11.49)
 	Percentile (%)	6.164	53.626	71.664	56.889	33.865	62.08
oxidoreductase activity, acting on CH-OH group of donors	FC (WS / NS)	0.58 (2.24 / 1.17)	0.05 (11.53 / 11.08)	0.04 (17.82 / 17.29)	0.08 (12.53 / 11.84)	0.05 (17.23 / 16.55)	0.05 (11.39 / 10.94)
 	Percentile (%)	6.309	39.773	40.33	36.476	29.644	47.018
cation-transporting ATPase activity	FC (WS / NS)	0.56 (-3.03 / -2.37)	0.06 (9.73 / 9.27)	0.02 (14.22 / 14.01)	-0.02 (10.16 / 10.3)	-0.43 (9.78 / 13.49)	0.04 (7.82 / 7.59)
 	Percentile (%)	6.381	38.22	45.686	54.095	75.938	49.875
oxidoreductase activity, oxidizing metal ions, oxygen as acceptor	FC (WS / NS)	0.55 (-5.43 / -4.02)	-0.44 (5.32 / 7.58)	-0.49 (5.09 / 7.52)	-0.51 (5.17 / 7.78)	1.31 (10.4 / 3.58)	0.34 (8.28 / 6.35)
 	Percentile (%)	6.526	67.076	85.328	79.397	8.63	18.045
GTP binding	FC (WS / NS)	0.51 (1.74 / 0.93)	0.13 (9.07 / 8.2)	-0.01 (15.89 / 16.03)	-	0.04 (24.26 / 23.54)	0 (11.64 / 11.67)
 	Percentile (%)	7.107	33.359	68.276	-	32.036	58.922
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	FC (WS / NS)	0.5 (-2.64 / -2.16)	0.08 (8.98 / 8.43)	-0.01 (15.72 / 15.8)	-0.08 (9.52 / 10.12)	-0.07 (14.69 / 15.52)	0.02 (9.68 / 9.54)
 	Percentile (%)	7.179	35.782	66.606	59.206	56.848	54.035
kinase activity	FC (WS / NS)	0.49 (1.69 / 0.92)	0.04 (11.07 / 10.72)	0.03 (18.69 / 18.27)	0.05 (12.08 / 11.61)	0.02 (20.33 / 20.05)	0.03 (11.75 / 11.5)
 	Percentile (%)	7.469	41.373	42.275	41.333	37.852	51.955
translation factor activity, RNA binding	FC (WS / NS)	0.49 (2.7 / 1.63)	-0.02 (12.22 / 12.36)	-0.02 (15.97 / 16.23)	-0.03 (12.03 / 12.35)	0.04 (23.67 / 23.03)	-0.02 (11.45 / 11.63)
 	Percentile (%)	7.542	53.316	70.794	55.81	33.724	61.579
translation regulator activity	FC (WS / NS)	0.49 (2.7 / 1.63)	-0.02 (12.33 / 12.48)	-0.02 (15.97 / 16.23)	-0.03 (12.03 / 12.35)	0.04 (23.67 / 23.03)	-0.02 (11.45 / 11.63)
 	Percentile (%)	7.614	53.285	70.817	55.841	33.771	61.604
translation regulator activity, nucleic acid binding	FC (WS / NS)	0.49 (2.7 / 1.63)	-0.02 (12.27 / 12.42)	-0.02 (15.97 / 16.23)	-0.03 (12.03 / 12.35)	0.04 (23.67 / 23.03)	-0.02 (11.45 / 11.63)
 	Percentile (%)	7.687	53.3	70.84	55.873	33.818	61.629
guanyl ribonucleotide binding	FC (WS / NS)	0.46 (2.12 / 1.27)	0.09 (10.7 / 10)	-0.01 (16.92 / 17.06)	0 (8.58 / 8.55)	0.04 (24.26 / 23.54)	0 (11.64 / 11.67)
 	Percentile (%)	7.832	35.005	67.956	50.952	32.176	58.872
proton-exporting ATPase activity, phosphorylative mechanism	FC (WS / NS)	0.45 (-5.27 / -4.12)	-	0.03 (9.34 / 9.13)	2.32 (4 / 0)	-	-
 	Percentile (%)	7.977	-	42.71	1.619	-	-
isomerase activity	FC (WS / NS)	0.45 (2.26 / 1.39)	0.02 (12.56 / 12.36)	0.02 (18.5 / 18.29)	0.02 (12.6 / 12.45)	0.07 (18.15 / 17.26)	0.04 (11.99 / 11.66)
 	Percentile (%)	8.194	44.029	46.921	48.54	28.189	49.95
ferroxidase activity	FC (WS / NS)	0.43 (-6.43 / -5.02)	-0.51 (4.32 / 6.58)	-0.56 (4.09 / 6.52)	-0.59 (4.17 / 6.78)	1.31 (10.4 / 3.58)	0.34 (8.28 / 6.35)
 	Percentile (%)	8.267	68.52	86.015	80.794	8.583	18.02
guanyl nucleotide binding	FC (WS / NS)	0.43 (2.42 / 1.54)	0.08 (11.26 / 10.57)	-0.01 (17.51 / 17.66)	0.04 (8.85 / 8.57)	0.04 (24.26 / 23.54)	0 (11.64 / 11.67)
 	Percentile (%)	8.484	35.58	67.91	43.556	32.083	58.847
transition metal ion binding	FC (WS / NS)	0.42 (2.91 / 1.92)	-0.02 (11.67 / 11.89)	0 (20.18 / 20.12)	-0.01 (12.15 / 12.25)	-0.01 (20.29 / 20.51)	0 (12.02 / 11.99)
 	Percentile (%)	8.629	53.875	51.682	53.333	46.764	57.469
S-acyltransferase activity	FC (WS / NS)	0.42 (-8.36 / -6.51)	0.16 (8.06 / 7.11)	0 (9.31 / 9.31)	-1.8 (1 / 5.95)	-0.19 (9.8 / 11.31)	0 (6.94 / 6.92)
 	Percentile (%)	8.702	24.786	52.827	89.683	65.807	56.867
malonyltransferase activity	FC (WS / NS)	0.42 (-8.36 / -6.51)	0.24 (7.81 / 6.44)	0 (8.14 / 8.11)	-	-0.14 (9.8 / 10.91)	0.02 (6.67 / 6.55)
 	Percentile (%)	8.774	22.348	51.225	-	63.462	53.233
S-malonyltransferase activity	FC (WS / NS)	0.4 (-8.63 / -6.78)	0.26 (7.23 / 5.86)	0.01 (7.55 / 7.52)	-	-0.14 (9.8 / 10.91)	0.02 (6.67 / 6.55)
 	Percentile (%)	8.92	21.634	51.11	-	63.415	53.208
[acyl-carrier-protein] S-malonyltransferase activity	FC (WS / NS)	0.38 (-8.95 / -7.1)	0.3 (6.23 / 4.86)	0.01 (6.55 / 6.52)	-	-0.14 (9.8 / 10.91)	0.02 (6.67 / 6.55)
 	Percentile (%)	9.862	20.422	50.881	-	63.368	53.183
oxidoreductase activity, acting on a sulfur group of donors	FC (WS / NS)	0.38 (-4.91 / -4.01)	0.18 (9.13 / 7.94)	0.04 (14 / 13.58)	0.02 (10.35 / 10.23)	-0.13 (12.63 / 13.94)	0.08 (9.53 / 8.94)
 	Percentile (%)	10.08	24.243	40.375	48.254	62.711	40
phosphotransferase activity, alcohol group as acceptor	FC (WS / NS)	0.38 (-2.4 / -2.08)	0.05 (10.39 / 9.99)	0.06 (17.62 / 16.86)	0.1 (11.42 / 10.57)	0.12 (18.14 / 16.64)	0.08 (11.13 / 10.46)
 	Percentile (%)	10.225	39.991	36.576	32.19	21.951	40.025
peroxidase activity	FC (WS / NS)	0.37 (-4.97 / -4.08)	0.35 (7.4 / 5.61)	0.07 (9.75 / 9.27)	-1.29 (1 / 3.91)	-0.11 (10.67 / 11.57)	0.09 (8.68 / 8.07)
 	Percentile (%)	10.442	18.838	35.248	87.333	59.475	39.023
peroxiredoxin activity	FC (WS / NS)	0.36 (-5.35 / -4.4)	0.48 (7.38 / 4.99)	0.09 (8.9 / 8.29)	-	-0.33 (9 / 11.54)	0.02 (7.39 / 7.25)
 	Percentile (%)	10.587	15.919	32.593	-	72.655	53.108
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	FC (WS / NS)	0.35 (-6.21 / -5.08)	0.21 (8.55 / 7.26)	0.02 (10.59 / 10.44)	-1.23 (1 / 3.7)	-3.18 (0 / 8.09)	-0.29 (4.52 / 5.74)
 	Percentile (%)	10.66	23.451	46.212	86.984	93.386	76.216
rRNA binding	FC (WS / NS)	0.35 (4.82 / 3.57)	0.02 (9.32 / 9.2)	-0.01 (17 / 17.13)	-0.03 (11.77 / 12.02)	0.03 (22.34 / 21.78)	-0.01 (12.07 / 12.13)
 	Percentile (%)	10.732	44.727	67.75	55.206	34.334	59.875
ATPase activity, coupled to transmembrane movement of ions, rotational mechanism	FC (WS / NS)	0.33 (-3.37 / -2.88)	0.07 (9.73 / 9.23)	0.02 (13.49 / 13.25)	-0.02 (9.54 / 9.71)	-	0.22 (4.09 / 3.36)
 	Percentile (%)	11.022	37.692	43.923	54.667	-	23.559
ATP binding	FC (WS / NS)	0.33 (4.53 / 3.4)	0.09 (10.71 / 10.01)	0.01 (21.39 / 21.2)	0.03 (13.25 / 12.98)	-0.01 (25.67 / 25.78)	0.02 (13.53 / 13.35)
 	Percentile (%)	11.095	35.176	48.043	45.556	44.465	54.135
protein-N(PI)-phosphohistidine-sugar phosphotransferase activity	FC (WS / NS)	0.33 (-5.71 / -4.75)	0.19 (8.5 / 7.32)	0.09 (13.03 / 12.17)	0.2 (8.44 / 7.23)	0.13 (14.3 / 12.98)	0.19 (8.85 / 7.65)
 	Percentile (%)	11.168	23.963	32.731	23.968	20.732	26.291
ferric iron binding	FC (WS / NS)	0.33 (-0.41 / -0.53)	-0.48 (4.32 / 6.41)	0.09 (10.33 / 9.68)	0.07 (8.55 / 8.11)	0.26 (15.97 / 13.19)	0.06 (8.89 / 8.46)
 	Percentile (%)	11.53	67.806	33.188	38.063	14.024	44.687
drug binding	FC (WS / NS)	0.32 (4.58 / 3.46)	0.03 (10.98 / 10.77)	0.01 (21.41 / 21.24)	0.02 (14.41 / 14.21)	-0.01 (25.68 / 25.79)	0.02 (13.73 / 13.55)
 	Percentile (%)	11.675	43.438	48.386	47.81	44.512	54.286
hydrogen-translocating pyrophosphatase activity	FC (WS / NS)	0.32 (-4.6 / -3.89)	0.08 (8.39 / 7.87)	0.03 (11.43 / 11.19)	-0.14 (8.25 / 9.22)	-	0.22 (4.09 / 3.36)
 	Percentile (%)	11.893	35.751	42.618	66.286	-	23.484
disulfide oxidoreductase activity	FC (WS / NS)	0.31 (-5.8 / -4.87)	0.29 (7.77 / 6.15)	0.03 (12.67 / 12.39)	-0.02 (8.54 / 8.66)	-0.08 (11.38 / 12.11)	0.03 (8.6 / 8.41)
 	Percentile (%)	11.965	20.686	42.504	54.159	57.739	51.83
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines	FC (WS / NS)	0.3 (-3.23 / -2.81)	-0.29 (4.32 / 5.52)	-0.04 (10.41 / 10.71)	-2.37 (0 / 4.17)	-0.11 (13.71 / 14.84)	0.03 (7.77 / 7.56)
 	Percentile (%)	12.11	62.991	72.648	93.206	59.662	50.401
ion channel activity	FC (WS / NS)	0.3 (-3.18 / -2.76)	0.05 (9.02 / 8.66)	0.02 (13.21 / 12.97)	0.02 (9.49 / 9.33)	-0.05 (19.11 / 19.77)	0.03 (9.75 / 9.54)
 	Percentile (%)	12.4	39.727	44.038	46.476	52.955	51.905
cation channel activity	FC (WS / NS)	0.3 (-3.18 / -2.76)	0.07 (9 / 8.54)	0.02 (13.2 / 12.96)	0.02 (9.25 / 9.13)	-0.05 (19.1 / 19.77)	0.03 (9.48 / 9.28)
 	Percentile (%)	12.473	37.816	43.946	48.032	52.767	52.281
proton channel activity	FC (WS / NS)	0.3 (-3.18 / -2.76)	0.07 (9 / 8.52)	0.02 (13.2 / 12.96)	0.02 (9.25 / 9.13)	-0.05 (19.1 / 19.77)	0.03 (9.48 / 9.28)
 	Percentile (%)	12.545	36.574	44.106	48.063	52.814	52.18
channel activity	FC (WS / NS)	0.3 (-3.18 / -2.76)	-0.05 (9.13 / 9.49)	0.01 (13.3 / 13.2)	-0.07 (10.69 / 11.23)	-0.05 (19.11 / 19.77)	0.01 (9.79 / 9.7)
 	Percentile (%)	12.618	55.537	48.821	57.81	53.002	55.564
passive transmembrane transporter activity	FC (WS / NS)	0.3 (-3.18 / -2.76)	-0.07 (9.18 / 9.71)	0.01 (13.36 / 13.31)	-0.06 (11.06 / 11.61)	-0.05 (19.11 / 19.77)	0.01 (9.79 / 9.7)
 	Percentile (%)	12.69	56.717	51.064	57.778	53.049	55.589
proton-transporting ATP synthase activity, rotational mechanism	FC (WS / NS)	0.3 (-3.18 / -2.76)	0.07 (9 / 8.52)	0.02 (13.2 / 12.96)	0.02 (9.25 / 9.13)	-0.05 (19.1 / 19.77)	0.03 (9.48 / 9.28)
 	Percentile (%)	12.763	36.59	44.152	48.095	52.861	52.206
unfolded protein binding	FC (WS / NS)	0.3 (-9.9 / -8.23)	0.16 (9.93 / 8.76)	-	0.06 (10.43 / 9.97)	0.06 (20.68 / 19.85)	0.08 (10.79 / 10.15)
 	Percentile (%)	12.835	24.724	-	39.81	29.315	40.451
oxidoreductase activity	FC (WS / NS)	0.29 (4.94 / 3.84)	-0.03 (13.01 / 13.3)	0 (21.05 / 21.09)	-0.03 (14.71 / 15.05)	-0.03 (19.89 / 20.31)	0 (13.61 / 13.65)
 	Percentile (%)	13.343	54.372	65.644	55.302	48.405	59.098
adenyl ribonucleotide binding	FC (WS / NS)	0.27 (5.23 / 4.18)	0.07 (11.71 / 11.08)	0.01 (22.4 / 22.21)	0.02 (14.31 / 14.06)	-0.01 (25.67 / 25.78)	0.02 (13.54 / 13.35)
 	Percentile (%)	14.068	36.357	48.295	46.159	44.418	54.11
translation initiation factor activity	FC (WS / NS)	0.27 (-6.87 / -5.88)	-0.23 (5.93 / 7.11)	-0.03 (10.23 / 10.44)	-	0.13 (15.01 / 13.64)	-0.04 (7.64 / 7.87)
 	Percentile (%)	14.213	61.531	71.687	-	21.013	63.559
metal ion binding	FC (WS / NS)	0.26 (5.01 / 4.01)	0 (12.86 / 12.89)	0.01 (22.39 / 22.19)	0.01 (14.48 / 14.38)	0.04 (24.65 / 23.98)	0.01 (13.73 / 13.6)
 	Percentile (%)	14.358	52.306	48.02	50	33.302	55.539
cofactor binding	FC (WS / NS)	0.26 (2.58 / 1.99)	-0.05 (10.85 / 11.29)	-0.02 (20.17 / 20.54)	-0.04 (13.99 / 14.46)	-0.05 (20.3 / 20.99)	-0.04 (12.89 / 13.27)
 	Percentile (%)	14.503	55.723	71.298	56.667	52.533	63.709
arginine deiminase activity	FC (WS / NS)	0.26 (-3.55 / -3.13)	-0.27 (3 / 3.81)	0.02 (7.5 / 7.38)	-	-0.11 (13.71 / 14.84)	0.03 (7.74 / 7.55)
 	Percentile (%)	14.576	62.308	45.777	-	59.709	51.003
2,5-didehydrogluconate reductase activity	FC (WS / NS)	0.26 (-10.37 / -8.84)	-	-	-	-	1.07 (3 / 0.91)
 	Percentile (%)	14.793	-	-	-	-	7.118
purine ribonucleoside binding	FC (WS / NS)	0.26 (4.73 / 3.8)	0.1 (11.56 / 10.75)	0.01 (21.85 / 21.75)	0 (8.58 / 8.55)	0.04 (24.26 / 23.54)	0 (11.64 / 11.67)
 	Percentile (%)	15.083	34.617	50.629	50.921	32.129	58.947
nickel cation binding	FC (WS / NS)	0.26 (-9.39 / -8.03)	-0.1 (3.81 / 4.15)	0.13 (10.49 / 9.53)	0.15 (6.75 / 6)	-0.62 (7.26 / 11.72)	0.15 (6.88 / 6.11)
 	Percentile (%)	15.228	57.26	29.366	26.476	78.377	29.148
protein disulfide oxidoreductase activity	FC (WS / NS)	0.25 (-6.8 / -5.87)	-0.18 (2.58 / 3.08)	-0.01 (10.85 / 10.9)	-	-0.08 (11.26 / 11.97)	0.02 (8.23 / 8.09)
 	Percentile (%)	15.301	60.211	66.56	-	57.505	53.158
carbon-carbon lyase activity	FC (WS / NS)	0.25 (0.55 / 0.3)	-0.1 (9.92 / 10.68)	-0.03 (16.65 / 17.02)	-0.08 (11.75 / 12.49)	-0.1 (15.8 / 16.98)	-0.09 (10.72 / 11.49)
 	Percentile (%)	15.373	57.229	71.962	59.365	58.959	67.769
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	FC (WS / NS)	0.24 (-6.2 / -5.4)	0.33 (8.09 / 6.23)	0 (13.53 / 13.54)	0.05 (7.62 / 7.32)	0.01 (13.6 / 13.52)	0.03 (8.49 / 8.28)
 	Percentile (%)	16.171	19.273	65.278	41.778	39.681	51.028
nucleoside-triphosphatase activity	FC (WS / NS)	0.24 (2.31 / 1.8)	0.05 (12.83 / 12.34)	0.02 (20.49 / 20.27)	0.01 (13.6 / 13.46)	0.04 (24 / 23.34)	0 (12.13 / 12.17)
 	Percentile (%)	16.244	39.96	47.196	48.635	33.349	59.173
purine ribonucleoside triphosphate binding	FC (WS / NS)	0.24 (5.63 / 4.61)	0.08 (12.11 / 11.37)	0.01 (22.64 / 22.5)	0.02 (14.42 / 14.2)	0 (26.13 / 26.06)	0.01 (13.88 / 13.74)
 	Percentile (%)	16.389	35.596	50.08	47.238	40.291	55.388
carbohydrate transmembrane transporter activity	FC (WS / NS)	0.24 (-3.11 / -2.79)	0.09 (10.55 / 9.89)	0.06 (15.73 / 15.09)	0.04 (9.92 / 9.65)	0.12 (14.38 / 13.15)	0.11 (9.43 / 8.69)
 	Percentile (%)	16.461	35.409	37.148	44.508	21.857	38.02
adenyl nucleotide binding	FC (WS / NS)	0.24 (5.71 / 4.69)	0.07 (12.3 / 11.67)	0.01 (22.99 / 22.8)	0.02 (14.89 / 14.63)	-0.01 (25.67 / 25.78)	0.02 (13.55 / 13.35)
 	Percentile (%)	16.534	37.599	48.341	46.19	44.559	53.91
dipeptidase activity	FC (WS / NS)	0.23 (-10.86 / -9.38)	1.93 (2.81 / 0)	-0.03 (11.26 / 11.48)	0.92 (6.19 / 2.81)	-0.29 (8.26 / 10.36)	0.09 (8.17 / 7.64)
 	Percentile (%)	16.679	2.081	71.481	7.81	69.09	39.674
pyrophosphatase activity	FC (WS / NS)	0.23 (3.26 / 2.64)	0.05 (13.28 / 12.75)	0.01 (21.23 / 21.03)	0.01 (14.14 / 14.02)	0.04 (24 / 23.34)	0 (12.25 / 12.25)
 	Percentile (%)	17.186	39.447	47.723	49.365	33.396	58.045
N-acetylmuramoyl-L-alanine amidase activity	FC (WS / NS)	0.23 (-6.52 / -5.72)	-	-0.14 (7.23 / 8.05)	-0.46 (3.81 / 5.61)	-0.12 (8.22 / 9.04)	-0.21 (5.09 / 6.03)
 	Percentile (%)	17.549	-	78.141	78.286	61.21	74.11
peptidoglycan muralytic activity	FC (WS / NS)	0.23 (-6.52 / -5.72)	-1.97 (0 / 2.91)	-0.14 (7.23 / 8.08)	-0.14 (5.17 / 5.78)	-0.11 (8.32 / 9.04)	-0.01 (6.39 / 6.44)
 	Percentile (%)	17.621	90.822	78.233	65.651	59.756	60.326
RNA binding	FC (WS / NS)	0.23 (6.73 / 5.61)	-0.02 (13.11 / 13.33)	-0.01 (19.94 / 20.11)	-0.03 (13.95 / 14.24)	0.03 (24.24 / 23.69)	-0.01 (13.31 / 13.4)
 	Percentile (%)	17.694	53.688	67.933	55.111	35.46	60.075
cation binding	FC (WS / NS)	0.23 (5.84 / 4.85)	0 (13.33 / 13.34)	0.01 (23.21 / 23)	0.01 (15.18 / 15.11)	0.04 (24.66 / 24)	0.01 (13.8 / 13.73)
 	Percentile (%)	17.766	52.058	47.7	50.381	33.912	56.416
oxidoreductase activity, acting on hydrogen as donor, cytochrome as acceptor	FC (WS / NS)	0.23 (-10.39 / -9.03)	-	0.14 (6.78 / 6.04)	-	-	-
 	Percentile (%)	17.839	-	28.016	-	-	-
oxidoreductase activity, acting on hydrogen as donor, with a quinone or similar compound as acceptor	FC (WS / NS)	0.23 (-10.39 / -9.03)	-	0.11 (8.07 / 7.43)	-	-	-
 	Percentile (%)	17.912	-	31.106	-	-	-
ornithine carbamoyltransferase activity	FC (WS / NS)	0.23 (-5.39 / -4.75)	-0.22 (4.32 / 5.19)	-0.06 (7.81 / 8.2)	-	-0.07 (11.88 / 12.54)	-0.03 (8.02 / 8.22)
 	Percentile (%)	17.984	61.143	74.411	-	56.754	62.957
