"eggNOG"	"MEGAN"	"metaGOmics"	"MPA"	"Unipept"	"Prophane"
"11"	"DNA protection during starvation protein"	"Ethanolamine kinase"	"fructuronate reductase activity"	"50S ribosomal protein L7/L12"	"bacteriocin biosynthetic process"	"lyase activity"
"12"	"Methylmalonyl-CoA mutase"	"cytidylyltransferase choline kinase"	"hyalurononglucosaminidase activity"	"ATP-dependent Clp protease ATP-binding subunit"	"lactose catabolic process via tagatose-6-phosphate"	"[acyl-carrier-protein] S-malonyltransferase activity; catalytic activity; fatty acid synthase activity; metabolic process; S-acyltransferase activity; S-malonyltransferase activity; malonyltransferase activity; transferase activity; transferase activity, transferring acyl groups; transferase activity, transferring acyl groups other than amino-acyl groups"
"13"	"Inherit from bactNOG: Fibrillar surface protein"	"alcohol dehydrogenase"	"transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer"	"50S ribosomal protein L7/L12"	"threonine synthase activity"	"ferric iron binding; nucleic acid binding; DNA binding; catalytic activity; binding; iron ion binding; intracellular; cell; cytoplasm; cellular ion homeostasis; cellular metal ion homeostasis; cellular iron ion homeostasis; response to stress; metabolic process; cellular process; oxidoreductase activity; oxidoreductase activity, oxidizing metal ions; cellular homeostasis; cellular cation homeostasis; homeostatic process; ion binding; cation binding; intracellular part; cell part; NA; NA; NA; metal ion binding; transition metal ion binding; cellular transition metal ion homeostasis; chemical homeostasis; ion homeostasis; response to stimulus; metal ion homeostasis; iron ion homeostasis; transition metal ion homeostasis; cation homeostasis; cellular chemical homeostasis; oxidation-reduction process; biological regulation; regulation of biological quality; organic cyclic compound binding; heterocyclic compound binding"
"14"	"Pyruvate kinase"	"6-phosphogluconolactonase"	"sulfur amino acid catabolic process"	"Chaperone protein DnaK"	"glutathione metabolic process"	"pathogenesis; membrane; outer membrane; multi-organism process"
"15"	"Phosphoglucomutase"	"Catalyzes the radical-mediated transfer of the hydroxybenzyl group from 4-hydroxyphenylpyruvate (HPP) to 5-amino- 6-ribitylamino-2,4(1H,3H)-pyrimidinedione to form 7,8-didemethyl- 8-hydroxy-5-deazariboflavin (FO) (By similarity)"	"homocysteine catabolic process"	"Chaperone protein DnaK"	"galactose catabolic process"	"unfolded protein binding; cell; periplasmic space; cell part"
"16"	"Branched-chain-amino-acid transaminase"	"Sulfatase"	"homocysteine metabolic process"	"Chaperone protein DnaK"	"RNA secondary structure unwinding"	"cytoplasm; intracellular; cell; translation; translational termination; metabolic process; biosynthetic process; macromolecule biosynthetic process; cellular process; gene expression; cellular component organization; protein metabolic process; cellular component disassembly; protein-containing complex disassembly; cellular macromolecule biosynthetic process; macromolecule metabolic process; NA; cellular protein complex disassembly; protein-containing complex subunit organization; cellular metabolic process; primary metabolic process; cellular biosynthetic process; cellular macromolecule metabolic process; cellular protein metabolic process; intracellular part; cell part; NA; NA; organic substance metabolic process; NA; cellular component organization or biogenesis; organic substance biosynthetic process"
"17"	"LIM and senescent cell antigen-like domains"	"3-dehydroquinate synthase"	"1-phosphofructokinase activity"	"Putative ATP-dependent Clp protease ATP-binding subunit"	"cytidylate kinase activity"	"electron transfer activity; catalytic activity; binding; organic acid metabolic process; lactate metabolic process; generation of precursor metabolites and energy; metabolic process; cellular process; oxidoreductase activity; lactate oxidation; carboxylic acid metabolic process; electron transport chain; monocarboxylic acid metabolic process; ion binding; cation binding; oxoacid metabolic process; cellular metabolic process; small molecule metabolic process; NA; metal ion binding; iron-sulfur cluster binding; 4 iron, 4 sulfur cluster binding; metal cluster binding; oxidation-reduction process; organic substance metabolic process; organic hydroxy compound metabolic process"
"18"	"Glutamyl aminopeptidase"	"Fe-S assembly protein"	"2-isopropylmalate synthase activity"	"50S ribosomal protein L7/L12"	"galactose-6-phosphate isomerase activity"	"mitochondrial proton-transporting ATP synthase complex, catalytic core F(1); ATP metabolic process; nucleotide binding; nucleoside binding; purine nucleoside binding; catalytic activity; transporter activity; binding; ATP binding; intracellular; cell; plasma membrane; nucleobase-containing compound metabolic process; purine nucleoside catabolic process; purine nucleotide metabolic process; purine nucleotide biosynthetic process; purine nucleotide catabolic process; NA; cellular aromatic compound metabolic process; nucleoside phosphate metabolic process; ATP biosynthetic process; phosphorus metabolic process; phosphate-containing compound metabolic process; nitrogen compound metabolic process; transport; ion transport; cation transport; NA; metabolic process; cation transmembrane transporter activity; catabolic process; biosynthetic process; nucleoside metabolic process; nucleotide metabolic process; ribonucleoside metabolic process; nucleoside monophosphate metabolic process; nucleoside monophosphate biosynthetic process; nucleoside monophosphate catabolic process; purine nucleoside monophosphate metabolic process; purine nucleoside monophosphate biosynthetic process; purine nucleoside monophosphate catabolic process; nucleoside triphosphate metabolic process; nucleoside triphosphate biosynthetic process; nucleoside triphosphate catabolic process; purine nucleoside triphosphate metabolic process; purine nucleoside triphosphate biosynthetic process; purine nucleoside triphosphate catabolic process; purine ribonucleotide metabolic process; purine ribonucleotide biosynthetic process; purine ribonucleotide catabolic process; ribonucleoside monophosphate biosynthetic process; ribonucleoside monophosphate catabolic process; ribonucleoside monophosphate metabolic process; nucleoside biosynthetic process; nucleoside catabolic process; nucleotide biosynthetic process; nucleotide catabolic process; purine ribonucleoside monophosphate metabolic process; purine ribonucleoside monophosphate biosynthetic process; purine ribonucleoside monophosphate catabolic process; ribonucleoside triphosphate metabolic process; ribonucleoside triphosphate biosynthetic process; ribonucleoside triphosphate catabolic process; purine ribonucleoside triphosphate metabolic process; purine ribonucleoside triphosphate biosynthetic process; purine ribonucleoside triphosphate catabolic process; ribonucleotide metabolic process; ribonucleotide biosynthetic process; ribonucleotide catabolic process; cellular process; ion transmembrane transporter activity; monovalent inorganic cation transmembrane transporter activity; proton transmembrane transporter activity; primary active transmembrane transporter activity; P-P-bond-hydrolysis-driven transmembrane transporter activity; monovalent inorganic cation transport; energy coupled proton transport, down electrochemical gradient; ATP synthesis coupled proton transport; energy coupled proton transmembrane transport, against electrochemical gradient; ATP hydrolysis coupled proton transport; NA; membrane; pyrophosphatase activity; proton-transporting two-sector ATPase complex; hydrolase activity; hydrolase activity, acting on acid anhydrides; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides; NA; ATPase activity; purine nucleotide binding; nucleoside-triphosphatase activity; heterocycle biosynthetic process; aromatic compound biosynthetic process; aromatic compound catabolic process; organophosphate metabolic process; ribose phosphate metabolic process; cation-transporting ATPase activity; active transmembrane transporter activity; transmembrane transporter activity; inorganic cation transmembrane transporter activity; NA; NA; adenyl nucleotide binding; ribonucleoside binding; purine ribonucleoside binding; ribonucleotide binding; purine ribonucleotide binding; adenyl ribonucleotide binding; protein-containing complex; proton-transporting two-sector ATPase complex, catalytic domain; ion transmembrane transport; cellular nitrogen compound metabolic process; nucleobase-containing compound biosynthetic process; nucleobase-containing compound catabolic process; purine ribonucleoside triphosphate binding; small molecule binding; purine nucleoside metabolic process; purine nucleoside biosynthetic process; ribonucleoside catabolic process; ribonucleoside biosynthetic process; ATPase activity, coupled; ATPase coupled ion transmembrane transporter activity; ATPase activity, coupled to transmembrane movement of substances; plasma membrane ATP synthesis coupled proton transport; ion binding; anion binding; NA; ATPase activity, coupled to movement of substances; cellular metabolic process; primary metabolic process; cellular catabolic process; cellular biosynthetic process; cellular nitrogen compound catabolic process; cellular nitrogen compound biosynthetic process; small molecule metabolic process; intracellular part; membrane part; cell part; NA; NA; NA; NA; ATPase activity, coupled to transmembrane movement of ions, rotational mechanism; proton-transporting ATP synthase complex; proton-transporting ATP synthase complex, catalytic core F(1); purine ribonucleoside metabolic process; purine ribonucleoside biosynthetic process; purine ribonucleoside catabolic process; ribose phosphate biosynthetic process; organophosphate catabolic process; heterocycle metabolic process; heterocycle catabolic process; proton-transporting ATP synthase activity, rotational mechanism; proton-transporting ATPase activity, rotational mechanism; localization; establishment of localization; transmembrane transport; nucleobase-containing small molecule metabolic process; organic substance metabolic process; cell periphery; purine-containing compound metabolic process; purine-containing compound biosynthetic process; purine-containing compound catabolic process; organophosphate biosynthetic process; organic cyclic compound binding; carbohydrate derivative metabolic process; carbohydrate derivative catabolic process; carbohydrate derivative biosynthetic process; nucleoside phosphate binding; nucleoside phosphate catabolic process; nucleoside phosphate biosynthetic process; organic cyclic compound metabolic process; organic cyclic compound catabolic process; organic cyclic compound biosynthetic process; heterocyclic compound binding; organonitrogen compound metabolic process; organonitrogen compound catabolic process; organonitrogen compound biosynthetic process; organic substance catabolic process; organic substance biosynthetic process; glycosyl compound metabolic process; glycosyl compound catabolic process; glycosyl compound biosynthetic process"
"19"	"Rubrerythrin"	"transcriptional regulator, ctsr"	"RNA-directed RNA polymerase activity"	"50S ribosomal protein L7/L12"	"ADP-ribose diphosphatase activity"	"catalytic activity; metabolic process; oxidoreductase activity; oxidoreductase activity, acting on CH-OH group of donors; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; NA; 2,5-didehydrogluconate reductase activity; oxidation-reduction process"
"20"	"ATP-dependent Clp protease ATP-binding subunit"	"Could be a nuclease that resolves Holliday junction intermediates in genetic recombination (By similarity)"	"transcription, RNA-templated"	"Chaperone protein DnaK"	"6-phosphogluconolactonase activity"	"dipeptidase activity"
"21"	"Catalyzes a 2-step reaction, involving the ATP-dependent carboxylation of the covalently attached biotin in the first step and the transfer of the carboxyl group to pyruvate in the second (By similarity)"	"Catalyzes a 2-step reaction, involving the ATP-dependent carboxylation of the covalently attached biotin in the first step and the transfer of the carboxyl group to pyruvate in the second (By similarity)"	"hydrogen:potassium-exchanging ATPase activity"	"Chaperone protein DnaK"	"tagatose-bisphosphate aldolase activity"	"protein-N(PI)-phosphohistidine-sugar phosphotransferase activity; catalytic activity; transporter activity; intracellular; cell; cytoplasm; transport; metabolic process; carbohydrate transport; phosphoenolpyruvate-dependent sugar phosphotransferase system; cellular process; carbohydrate transmembrane transporter activity; membrane; integral component of membrane; transferase activity; transferase activity, transferring phosphorus-containing groups; phosphotransferase activity, alcohol group as acceptor; active transmembrane transporter activity; transmembrane transporter activity; NA; NA; intrinsic component of membrane; carbohydrate transmembrane transport; intracellular part; membrane part; cell part; NA; NA; NA; localization; establishment of localization; transmembrane transport; organic substance transport; NA"
"22"	"Essential cell division protein that forms a contractile ring structure (Z ring) at the future cell division site. The regulation of the ring assembly controls the timing and the location of cell division. One of the functions of the FtsZ ring is to recruit other cell division proteins to the septum to produce a new cell wall between the dividing cells. Binds GTP and shows GTPase activity (By similarity)"	"cysteine desulfurase"	"carbon-monoxide dehydrogenase (ferredoxin) activity"	"Chaperone protein DnaK"	"proline dipeptidase activity"	"translation elongation factor activity; nucleic acid binding; RNA binding; binding; intracellular; cell; cytoplasm; translation; translational elongation; translation factor activity, RNA binding; metabolic process; biosynthetic process; macromolecule biosynthetic process; cellular process; gene expression; protein metabolic process; cellular macromolecule biosynthetic process; macromolecule metabolic process; cellular metabolic process; primary metabolic process; cellular biosynthetic process; cellular macromolecule metabolic process; cellular protein metabolic process; intracellular part; cell part; organic substance metabolic process; organic cyclic compound binding; heterocyclic compound binding; organic substance biosynthetic process"
"23"	"Pilin isopeptide linkage domain protein"	"1-phosphofructokinase"	"carbon-monoxide dehydrogenase (acceptor) activity"	"Chaperone protein DnaK"	"pyrimidine nucleotide metabolic process"	"nucleotide binding; nucleoside binding; purine nucleoside binding; nucleic acid binding; RNA binding; translation elongation factor activity; catalytic activity; GTPase activity; binding; GTP binding; intracellular; cell; cytoplasm; nucleobase-containing compound metabolic process; purine nucleoside catabolic process; purine nucleotide metabolic process; NA; purine nucleotide catabolic process; translation; translational elongation; cellular aromatic compound metabolic process; nucleoside phosphate metabolic process; phosphorus metabolic process; phosphate-containing compound metabolic process; nitrogen compound metabolic process; translation factor activity, RNA binding; metabolic process; catabolic process; biosynthetic process; macromolecule biosynthetic process; nucleoside metabolic process; nucleotide metabolic process; ribonucleoside metabolic process; nucleoside triphosphate metabolic process; nucleoside triphosphate catabolic process; purine nucleoside triphosphate metabolic process; purine nucleoside triphosphate catabolic process; purine ribonucleotide metabolic process; purine ribonucleotide catabolic process; nucleoside catabolic process; nucleotide catabolic process; ribonucleoside triphosphate metabolic process; ribonucleoside triphosphate catabolic process; purine ribonucleoside triphosphate metabolic process; purine ribonucleoside triphosphate catabolic process; ribonucleotide metabolic process; ribonucleotide catabolic process; cellular process; gene expression; pyrophosphatase activity; hydrolase activity; hydrolase activity, acting on acid anhydrides; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides; purine nucleotide binding; nucleoside-triphosphatase activity; guanyl nucleotide binding; aromatic compound catabolic process; protein metabolic process; organophosphate metabolic process; ribose phosphate metabolic process; ribonucleoside binding; purine ribonucleoside binding; ribonucleotide binding; purine ribonucleotide binding; guanyl ribonucleotide binding; cellular nitrogen compound metabolic process; cellular macromolecule biosynthetic process; nucleobase-containing compound catabolic process; purine ribonucleoside triphosphate binding; small molecule binding; purine nucleoside metabolic process; ribonucleoside catabolic process; ion binding; anion binding; macromolecule metabolic process; cellular metabolic process; primary metabolic process; cellular catabolic process; cellular biosynthetic process; cellular macromolecule metabolic process; cellular protein metabolic process; cellular nitrogen compound catabolic process; small molecule metabolic process; intracellular part; cell part; NA; GTP metabolic process; purine ribonucleoside metabolic process; purine ribonucleoside catabolic process; organophosphate catabolic process; heterocycle metabolic process; heterocycle catabolic process; nucleobase-containing small molecule metabolic process; organic substance metabolic process; purine-containing compound metabolic process; purine-containing compound catabolic process; organic cyclic compound binding; guanosine-containing compound metabolic process; guanosine-containing compound catabolic process; carbohydrate derivative metabolic process; carbohydrate derivative catabolic process; nucleoside phosphate binding; nucleoside phosphate catabolic process; organic cyclic compound metabolic process; organic cyclic compound catabolic process; heterocyclic compound binding; organonitrogen compound metabolic process; organonitrogen compound catabolic process; organic substance catabolic process; organic substance biosynthetic process; glycosyl compound metabolic process; glycosyl compound catabolic process"
"24"	"dehydrogenase"	"Transcriptional regulator"	"beta-fructofuranosidase activity"	"Chaperone protein DnaK"	"transferase activity, transferring phosphorus-containing groups"	"pathogenesis; membrane; outer membrane; multi-organism process"
"25"	"Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)"	"(ABC) transporter"	"sucrose alpha-glucosidase activity"	"Chaperone protein DnaK"	"serine-type endopeptidase inhibitor activity"	"translation elongation factor activity; nucleic acid binding; RNA binding; binding; intracellular; cell; cytoplasm; translation; translational elongation; translation factor activity, RNA binding; metabolic process; biosynthetic process; macromolecule biosynthetic process; cellular process; gene expression; protein metabolic process; cellular macromolecule biosynthetic process; macromolecule metabolic process; cellular metabolic process; primary metabolic process; cellular biosynthetic process; cellular macromolecule metabolic process; cellular protein metabolic process; intracellular part; cell part; organic substance metabolic process; organic cyclic compound binding; heterocyclic compound binding; organic substance biosynthetic process"
